Source,Word,Definition
ENG FRE,hah,ah! (interjection)4
ENG FRE,hailstones,orage accompagné de grêle0=
ENG FRE,hair drier,"sèche-cheveux, séchoir, casque"
ENG FRE,hair dryer,séchoir à cheveux
ENG FRE,hairballshhairbreadth escape,"frisé la mort, était à deux doigts de la mort"
ENG FRE,haircloths9haircut,"coiffure, coupe de cheveux0>"
ENG FRE,hairpiecesHhairpin bend,virage à épingle à cheveux
ENG FRE,"hairstyles""hairstyling",coiffure0=
ENG FRE,"hairworms,hairy",chevelu1=
ENG FRE,halations)halberd,hallebarde0
ENG FRE,half back,"demi-arrière, demi-arrières (football); demi (rugby)"
ENG FRE,half done,fait à moitié; à moitié cuit
ENG FRE,half life,"demi-vie, demi-vies (temps demandé pour ralentir une base radioactive jusqu'à la moitié de son cours)0"
ENG FRE,half mast,"mi-mât; arriver à mi-mollet, mi-mollet"
ENG FRE,half moon,"demi-lune, demi-lunes, lunule"
ENG FRE,half proof,"preuve à priori (preuve nécessitant une vérification supplémentaire, preuve insuffisante en elle-même)"
ENG FRE,half tone,"demi-teinte, demi-teintes; similigravure; demi-ton, demi-tons"
ENG FRE,half truth,vérité à moitié
ENG FRE,half-boot,demi-bottes
ENG FRE,half-breed,métis/métisse; cheval demi-sang
ENG FRE,half-cast,métis/métisse
ENG FRE,half-caste,"métis, métisse"
ENG FRE,half-crown,demi-couronne {monnaie anglaise qui vaut deux shillings)
ENG FRE,half-deck,pont intermédiaire
ENG FRE,half-note,demi note
ENG FRE,half-timer,étudiant mêlant des études avec un travail
ENG FRE,half-track,"semi-chenille (véhicule de combat, automitrailleuse, blindé)"
ENG FRE,half-year,demi année; semestriel
ENG FRE,halfbacks7halfhearted,"sans enthousiasme, sans choix1>"
ENG FRE,halfpence¸halftone image,"image simili, image en demi-teinte, image où les teintes ou tons intermédiaires sont représentés par une densité supérieure de points"
ENG FRE,halftoneshalftoning,"impression en similigravure, technique d'impression utilisant la densité de point noir imprimé pour donner une impression de gris0"
ENG FRE,halitoses9hall,salle; salle à manger; vestibule0?
ENG FRE,hymne0hallelujahs!hallelujah,alléluia4
ENG FRE,hallmarksehallo to you too,soyez le bienvenu (salutation)
ENG FRE,hallowing.hallowed,"sanctifié, saint; sacré1"
ENG FRE,hallowersUhallucinate,"halluciner, délirer2>"
ENG FRE,halophilesEhalophilous,"halophilé, qui aime du sel (plante, animal)1!"
ENG FRE,halt talks,"interrompre les conversations, arrêter les débats"
ENG FRE,haltering@haltingly,"en hésitant; par coups, de façon heurtée3"
ENG FRE,ham,jambon; cuisse; un mauvais acteur0>
ENG FRE,hammer at,travailler dur
ENG FRE,hammering*hammerer,marteleur0
ENG FRE,hammerers4hammerhead,poisson-marteau0
ENG FRE,hampering2hamperer,entravant; gênant0
ENG FRE,hamperersNhampshireman,"habitant du Hampshire, région anglaise0"
ENG FRE,hamstringsJhamstring,couper le jarret2
ENG FRE,hand brake,frein à main
ENG FRE,hand cream,crème pour les mains
ENG FRE,hand drill,perceuse manuelle
ENG FRE,hand held,"pris en main, tenu (e) (appareil manuel)"
ENG FRE,hand loom,métier à main
ENG FRE,hand made,fait mains
ENG FRE,hand pump,pompe à main
ENG FRE,hand towel,serviette des mains
ENG FRE,hand-mixer,mixeur manuel
ENG FRE,handballs6handbarrow,civière; brouette0!
ENG FRE,handbills6handbook,"manuel, livre commode0>"
ENG FRE,handbooks/handbrake,frein à main0
ENG FRE,handbrakes9handbreadth,largeur de la main0!
ENG FRE,handcarts0handclap,applaudissement0=
ENG FRE,handclaps2handclasp,poignée de main0
ENG FRE,handclaspsPhandcraft,faire de l'artisanat2
ENG FRE,handcuffsRhandcuff,"mettre aux fers, enchaîner2>"
ENG FRE,handed out,"a donné, a partagé, a distribué"
ENG FRE,handicaps/handicap,"handicaper, désavantager2"
ENG FRE,handle-bar,guidon de vélo
ENG FRE,handlebars)handlebars,guidon d'un vélo0
ENG FRE,handlings7handloom,métier à tisser manuel0
ENG FRE,handlooms%handmade,fait à la main1>
ENG FRE,handmaids9handmaiden,"servante, domestique0"
ENG FRE,handrailsohands imbued with blood,des mains imprégnés de sang
ENG FRE,hands up!,"haut les mains !, mains en l'air"
ENG FRE,handshakeshandshaking,"poignée de main, méthode de liaison entre deux ordinateurs ou régulation du transfert de données entre eux (informatique)0>"
ENG FRE,handspikes8handspring,salte (gymnastique)0
ENG FRE,handstands@handwheel,volant (utilisé manuellement)0!
ENG FRE,handwheels8handwork,"travail manuel, travail artisanal0"
ENG FRE,handy man,"homme manuel, homme doué de ses mains"
ENG FRE,hang about,"être retenu; prendre son temps, traîner"
ENG FRE,hang fire,"suspendre le feu; traîner (en longueur), faire traîner les choses"
ENG FRE,hang heavy,se dérouler lentement
ENG FRE,hang over,planer au-dessus; être pendu à-
ENG FRE,hangnailsAhangout,lieu de résidence; lieu de visites0=
ENG FRE,hangoversShangs around,"fréquente, a fait poireauté, a traîné"
ENG FRE,hap,avoir lieu2
ENG FRE,happeningHhappened to,"il a pu, il a eu l'occasion"
ENG FRE,hara-kiri,hara-kiri
ENG FRE,hara kiriaharakiri,harakiri (mot japonais: suicide rituel par éventration au sabre)0=
ENG FRE,harakiris1harangue,"harangue, sermon0"
ENG FRE,haranguesJharangue,"sermonner, haranguer2"
ENG FRE,harassing*harasser,harasseur0
ENG FRE,harassersharassing fire,"tir de harcèlement (destiné à harceler l'ennemi, atteindre son esprit de combat et éviter son mouvement)"
ENG FRE,harbingersJharbor suspicion,entretenir un doute
ENG FRE,harboring1harborage,mouillage (d'ancre); rade0!
ENG FRE,"harborers""harborless",sans port1
ENG FRE,hard blow,coup dur
ENG FRE,hard candy,bonbons à sucer (que l'on ne croque pas)
ENG FRE,hard case,cas difficile
ENG FRE,hard cash,"des espèces, du liquide"
ENG FRE,hard court,tennis court en dur
ENG FRE,hard cover,livre cartonné
ENG FRE,hard drive,"disque dur, disque rigide, moyen de stockage rapide et fixe écrivant les données sur des disquettes magnétiques rigides"
ENG FRE,hard facts,"des faits qu'on ne peut ignorer, des faits graves"
ENG FRE,hard labor,dur labeur
ENG FRE,hard luck,manque de chance
ENG FRE,hard money,argent difficile
ENG FRE,hard rock,hard rock
ENG FRE,hard space,"espace rigide, caractère d'espace empêchant un traitement de texte de séparer deux mots situés des deux côtés de celui-ci sur deux lignes"
ENG FRE,hard words,mots difficiles
ENG FRE,hard work,"travail difficile, dur labeur"
ENG FRE,hardbacks0hardball,ballon centrale0
ENG FRE,hardballs+hardboard,"panneau dur, Isorel0"
ENG FRE,hardboxeshardcard,"disque dur sur carte, carte d'extension comprenant un disque dur et un régulateur (informatique)0"
ENG FRE,hardcoversnharden one's heart,"s'obstiner, s'entêter, éprouver une dureté"
ENG FRE,hardening+hardener,durcisseur0
ENG FRE,hardenerschardening of positions,durcissement de position
ENG FRE,hardenings1hardhack,espèce d'arbuste0
ENG FRE,hardhacks@hardhanded,"autoritaire, cruel; aux mains calleuses1"
ENG FRE,hardheads:hardheaded,"pratique, décisif, obstiné (COLL)1>"
ENG FRE,hardlinershhardly more than,"pas plus que, seulement, tout compte fait"
ENG FRE,hardships.hardstand,plan rigide0
ENG FRE,hardstands_hardtack,"biscotte, biscuit dur (utilisé autrefois sur les bateau, etc.)0"
ENG FRE,hardtacks,voiture avec un toit métallique0!
ENG FRE,hardwoods0hardworking,"assidu, dur à la tâche1"
ENG FRE,harebells+harebrained,"écervelé, étourdi1"
ENG FRE,harkening;harlequin,"Arlequin, clown, bouffon0"
ENG FRE,harlequins\harlequinade,"représentation de clowns ou pantomime, bouffonnerie0"
ENG FRE,harlotriesNharm a process,endommager un processus
ENG FRE,harm-doer,"qui crée des dégâts, endommage"
ENG FRE,harmonicsCharmonic,"harmonique (corrélatif, convenable, adéquat)1>"
ENG FRE,harmonicas7harmonically,"en harmonie, en coordination3>"
ENG FRE,harmoniesharness a horse to a carriage,atteler un cheval à une charrette
ENG FRE,harnessesJharness,atteler (à une tache)2>
ENG FRE,harnessersharp on the same string,toucher continuellement à la même corde
ENG FRE,harpe0=harps9harp,jouer de la harpe2
ENG FRE,harped on,"a joué du-, traite de-"
ENG FRE,harpooners`harpsichord,"clavecin (instrument de musique ancien, ancêtre du piano)0"
ENG FRE,harridans,"harrier, chien de chasse; chien courant de longues distances0!"
ENG FRE,harrowing?harry,dévaster; harceler2!
ENG FRE,harsh term,terme fort
ENG FRE,cerf0hartsMhartebeest,"gnou, animal de la famille de l'antilope0"
ENG FRE,hartshornsgharvest festival,action de grâces (après la rentrée des récoltes)
ENG FRE,harvesters/harvestman,moissonneur0
ENG FRE,harvestmenahas a bachelor's degree,a une licence de-
ENG FRE,has a car,"il a une voiture, il est motorisé"
ENG FRE,has a cold,enrhumé
ENG FRE,has brains,"a de l'esprit, est intelligent, il a de la cervelle"
ENG FRE,has doubts,a des doutes
ENG FRE,has had it,"je suis foutu, je suis crevé; j'en ai marre, j'en ai jusque là"
ENG FRE,has plenty,"a en abondance, a largement, ne manque pas de"
ENG FRE,has tenure,"qui a la titularisation, qui est titularisé (qui a obtenu le statut d'employé permanent - fonctions publiques)"
ENG FRE,has vision,il a des visions
ENG FRE,has wheels,sur roues
ENG FRE,haste away,se dépêcher de sortir
ENG FRE,hastening-hastener,homme pressé0
ENG FRE,hasteners/hastily,"à la hâte, précipitamment3?"
ENG FRE,hat,chapeau; type0
ENG FRE,hat,"porter un chapeau, mettre un chapeau à quelqu'un2"
ENG FRE,hatchbackshatcheck clerk,garçon de vestiaire (jeune homme dont le rôle est de garder les affaires du public jusqu'à la fin de la soirée)
ENG FRE,hatcheries6hatchet,hachette; cognée; hache0=
ENG FRE,hatchlingsShatchment,plaque commémorative (pour une personne décédée)0
ENG FRE,hatchmentsJhatchway,trappe (passage ) sur un pont (de bateau)0
ENG FRE,hatchwaysUhate sermon,"un sermon de haine, des paroles de haine"
ENG FRE,haustoriaAhaute,"dans l'expression ""haute couture"" (supérieur)1!"
ENG FRE,have a try,essayer
ENG FRE,have fun!,amusez-vous bien !
ENG FRE,il y a/have /gotAhave got no,il n'y a pas
ENG FRE,have words,être en litige avec
ENG FRE,nanti0haves/haven,"asile, havre, refuge0>"
ENG FRE,haversacksUhaving a windfall,bénéficier d'une aubaine
ENG FRE,haw,parler de façon hésitante2!
ENG FRE,haw,à gauche (cri d'orientation pour une bête de somme)4!
ENG FRE,hawaiians1hawaiian,"Hawaïen, habitant de Hawaï1"
ENG FRE,hawk-eyed,à l'oeil perçant
ENG FRE,hay,foin; fourrage; herbage0=
ENG FRE,hay,préparer du foin2
ENG FRE,hayfields/hayfork,"fourche, trident0"
ENG FRE,haystacks/haywire,fil pour attacher le foin0
ENG FRE,hazelnutsAhazer,"bizutant, brimant (de nouveaux élèves)0"
ENG FRE,he himself,"lui-même, lui seul"
ENG FRE,he is able,"il peut, il est capable de, il est en mesure de"
ENG FRE,he is out,"il est sorti, il n'est pas à la maison, il n'est pas là"
ENG FRE,he,"he-pronom préposé signifiant ""mâle"" devant un nom non marqué: he-teacher=un prof1"
ENG FRE,he,il5
ENG FRE,he's easy,"il est facile, on peut facilement s'arranger avec lui"
ENG FRE,head cover,couvre-chef
ENG FRE,head crash,"écrasement de tête, crash de tête, chute de la tête de lecture/écriture du disque sur un support magnétique"
ENG FRE,head gate,porte d'une digue
ENG FRE,head nurse,infirmière en chef
ENG FRE,head page,"page (première, entête)"
ENG FRE,head wind,"vent contraire, vent debout"
ENG FRE,head wound,blessure à la tête
ENG FRE,headachesNheadachy,qui souffre de maux de tête; accompagné de maux de tête1
ENG FRE,headbands.headboard,tête de lit0=
ENG FRE,headboardsJheadcheese,"hure (fromage de tête, viande de porc de la tête)0"
ENG FRE,headed for,il est orienté vers
ENG FRE,headgearsAheadhunter,"chasseur de têtes, recruteur0"
ENG FRE,"headlamps,headland",promontoire0
ENG FRE,headlinesdheadline,"faire une manchette, donner un titre (journal)2!"
ENG FRE,headlocksCheadlong flight,sauve-qui-peut
ENG FRE,headnotes+headphone,écouteur0
ENG FRE,headphonesTheadpiece,casque; de la tête; de la cervelle (intelligence)0
ENG FRE,headpieces:headpin,pieu antérieur (au bowling)0!
ENG FRE,headraces+headrest,appui-tête0=
ENG FRE,headrightsheadroom,hauteur0!
ENG FRE,headsails'headset,écouteur0=
ENG FRE,headstalls?headstand,poirier (figure d'équilibre)0=
ENG FRE,headstands1headstone,pierre tombale0=
ENG FRE,headstones%headstrong,"têtu, entêté1="
ENG FRE,headwords6headwork,"pensée, activité intellectuelle0"
ENG FRE,guérir/heal /upIheal,guérir; se cicatriser; cicatriser2?
ENG FRE,health tax,impôt maladie (paiement obligatoire déduit du salaire de tout salarié pour les services de santé (caisse maladie))
ENG FRE,santé0?healths+healthcare,services médicaux0
ENG FRE,santé0!!healthily,sainement3
ENG FRE,heaps of-,"un océan de- (beaucoup, énormément)"
ENG FRE,heart sick,malade d'amour
ENG FRE,coeur0hearts?heart's desire,désir ardent
ENG FRE,heartaches,"battement de coeur, pouls0>"
ENG FRE,heartbeatsJheartbreak,"immense chagrin, déchirement du coeur0>"
ENG FRE,heartburns+hearted,"chaleureux, bon, etc.1="
ENG FRE,heartwormsjhearty congratulations,"sincères félicitations, meilleurs voeux"
ENG FRE,heat index,la chaleur (moyenne globale de la température de l'humidité et du vent)?
ENG FRE,heat pump,pompe à chauffer (appareil extractant la chaleur d'une matière en le transformant à une autre matière)
ENG FRE,heat wave,vague de chaleur
ENG FRE,païen1*heathendom,le monde idolâtre0
ENG FRE,heavy blow,"coup dur, blessure grave"
ENG FRE,heavy food,"de la nourriture lourde, des plats lourds"
ENG FRE,heavy gun,"fusil lourd, revolver lourd"
ENG FRE,heavy hand,"une main difficile, une main dure"
ENG FRE,heavy load,"lourde charge, un lourd fardeau, charge pesante"
ENG FRE,heavy rain,"forte pluie, pluie intense"
ENG FRE,heavy snow,"lourde neige, neige abondante"
ENG FRE,heavy soil,une terre lourde (terre qui n'a pas beaucoup d'eau)
ENG FRE,heavy tank,tank lourd (tank de combat)
ENG FRE,hebdomads%hebdomadal,hebdomadaire1
ENG FRE,hectograms,"hectolitre, cent litres0"
ENG FRE,hedgehogs*hedgehop,voler en rase motte2
ENG FRE,hedgerowsChedonic,"hédoniste, hédonistique; relatif aux plaisirs1"
ENG FRE,"hedonists""hedonistic",hédoniste1
ENG FRE,hegemoniesYhehe,"hi hi!, argot informatique sur le réseau Internet, rire (informatique)0"
ENG FRE,heigh-ho!,cri d'étonnement ou de chagrin
ENG FRE,heiresses%heirless,sans héritiers1
ENG FRE,heirlooms'heirship,droit d'héritage0!
ENG FRE,held on to,"s'est accroché à, s'est agrippé à, a gardé"
ENG FRE,held tight,a serré quelque chose
ENG FRE,heliotaxesjheliotherapy,héliothérapie (traitement des maladies par la lumière du soleil)0
ENG FRE,heliportsJhelium balloon,ballon gonflé à l'hélium
ENG FRE,enfer0hells5hell,"maudit, enfer; va au diable, peste4>"
ENG FRE,hell-fire,"feu de l'enfer, feu dévorant"
ENG FRE,helleboresPhelleborine,"hellébore, ellébore, produit aux propriétés purgatives0"
ENG FRE,hellenists\hellenistic,"hellénistique (qui se rapporte à l'hellénisme, la culture grecque)1="
ENG FRE,hellholes/hellion,trublion (argot)0
ENG FRE,enfer0!;hello,bonjour! holà! tiens! allô! (téléphone)4?
ENG FRE,helminthsehelminthiasis,"helminthiase, maladie causée par l'helminthe (ver parasite)0"
ENG FRE,help down,aider à descendre
ENG FRE,helpmates1helpmeet,"compagne, épouse0"
ENG FRE,hem,"bord, ourlet0="
ENG FRE,hem,ourler; cerner; encercler; écraser2
ENG FRE,hem,"hem, interjection imitant un raclement de gorge4"
ENG FRE,hematozoa0hematuria,"hematuria, sang en urine0!"
ENG FRE,hemocytesEhemocytoblast,germe des cellules du sang0
ENG FRE,hemolysesDhemolytic,"hémolytique, relatif à l'hémolyse (médecine)1"
ENG FRE,hemophilesUhemophile,"de l'hémophilie; non coagulation du sang, maladie héréditaire1"
ENG FRE,hemoptyses/hemorrhage,hémorragie0=
ENG FRE,hemostasesDhemostat,"hémostatique, arrêtant l'hémorragie0"
ENG FRE,hemostats,"hémostatique, qui stoppe l'hémorragie1"
ENG FRE,hen,poule0
ENG FRE,henhouses henna,henné0
ENG FRE,henneriesáhenotheism,culte d'un dieu parmi un groupe de plusieurs dieux (opposition au monothéisme); force suprême donnée à un seul dieu (qui peut être changer selon le besoin vers un autre dieu parmi la liste des dieux)0
ENG FRE,hep,"averti, au courant; affranchi1="
ENG FRE,hepaticas?hepatitis,hépatite (maladie du foie )0!
ENG FRE,heptagons;heptagonal,"heptagonal, qui possède sept côtés1"
ENG FRE,her Grace,Sa Majesté
ENG FRE,her fiance,"son fiancé, l'élu de son coeur"
ENG FRE,her,"sa, la5"
ENG FRE,heralding4heraldic,"héraldique, relatif au blason1"
ENG FRE,heraldists,héraldique; étude des blason0
ENG FRE,heraldries6herb tea,thé aux plantes
ENG FRE,herbalistsherbarium,"herbier, collection de plantes séchées; lieu de présentation d'une collection de plantes séchées0"
ENG FRE,"herbariums""herbicidal",herbicide1
ENG FRE,"herbicides,herbivore",herbivore0
ENG FRE,herbivores#herbivorous,herbivore1
ENG FRE,here below,ici-bas
ENG FRE,here he is,le voici
ENG FRE,here it is,"voilà c'est là, le voici!"
ENG FRE,here lies,"ici est enterré, ici repose (inscriptions figurant sur la pierre tombale)"
ENG FRE,heritages'heritor,héritier0
ENG FRE,héros0herosheroesjheroic behavior,"un comportement héroïque (héroïsme, preuve de courage)"
ENG FRE,heronries8herpangina,"herpangine, maladie infectieuse0"
ENG FRE,hesitaters;hesitatingly,"par indécision, par irrésolution3>"
ENG FRE,hesitatorsAhesperidin,hespéridine (matière trouvée aux fruits)0!
ENG FRE,heteronymsheteronymous,"hétéronyme (mot d'orthographe identique à celle d'autre mot, mais d'une prononciation et d'un sens différents)1!"
ENG FRE,heterosesUheterosporous,"hétérosporé, ayant plus d'une sorte de spores (botanique)1"
ENG FRE,heuristicsQheuristic,heuristique; qui contribue à la découverte d'une solution1
ENG FRE,hew,couper; tailler; équarrir2=
ENG FRE,hewn stone,"pierre taillée, pierre équarrie"
ENG FRE,hex,"sortilège, hexa0!"
ENG FRE,hex,"ensorceler, enchanter2!"
ENG FRE,hexagrams8hexahedral,hexaédrique; figure à six faces1
ENG FRE,hexahedrahexahedronsWhexameter,hexamètre (instrument de mesure utilisé en musique )0
ENG FRE,hexametersjhexamethonium,"hexaméthonium, produit utilisé dans le traitement de l'hypertension artérielle0"
ENG FRE,hey,"voici, allo4>"
ENG FRE,hibiscuses'hiccough,hoquet0
ENG FRE,hiccoughs,hoquet2
ENG FRE,hiccuping5hick,"ignorant, provincial, paysan0!"
ENG FRE,hickorieshhid from him,"lui a caché quelque chose, lui a tu quelque chose"
ENG FRE,hideaways.hidebound,"borné, étroit d'esprit1"
ENG FRE,hie,"se hâter, se presser2!"
ENG FRE,hierarchschierarchal,"relatif à un hiérarque (autorité religieuse, grand prêtre, homme d'Eglise)1"
ENG FRE,high alert,alerte générale
ENG FRE,high chair,une chaise haute (siège pour donner à manger au bébé)
ENG FRE,high court,"haute cour , haute instance"
ENG FRE,high grade,excellent
ENG FRE,high jinks,la rigolade
ENG FRE,high jump,saut en hauteur
ENG FRE,high level,"à haut niveau, de haut niveau"
ENG FRE,high noon,midi
ENG FRE,high pitch,son aigu
ENG FRE,high place,un lieu élevé
ENG FRE,high post,exercice d'une haute fonction
ENG FRE,high risk,haut risque
ENG FRE,high road,route principale
ENG FRE,high speed,"à grande vitesse, ultra-rapide, à marche rapide"
ENG FRE,high tech,"technologie avancée, technologie de pointe"
ENG FRE,high tone,haut ton
ENG FRE,high tones,"un ton fort, un volume puissant, fort (élever le ton, nervosité)"
ENG FRE,high yield,"haute production, haut rendement"
ENG FRE,high-brow,"intelligent, brillant, grosse tête"
ENG FRE,highballs@highbinder,imposteur; criminel chinois0!
ENG FRE,highbrowsdhigher and higher,tout en haut (le plus haut possible)
ENG FRE,highlandsjhighlight a dilemma,"souligner un dilemme, relever un problème"
ENG FRE,highlightsihighlight,"accentuer, mettre en valeur, mettre en relief2>"
ENG FRE,highnesses3highroad,"grand-route, route0="
ENG FRE,highroadsThightail,"agir rapidement, se dépêcher2"
ENG FRE,highwaymenYhihi,"hi hi!, argot informatique sur le réseau Internet, rire (informatique)0"
ENG FRE,hijacking0hijacker,pirate de l'air0>
ENG FRE,hijackers;hijacking,"détournement, kidnapping0>"
ENG FRE,hijackingsnhike,"promenade, excursion; (familier) promotion, augmentation (salaire), avancement, prime0>"
ENG FRE,hillsides0hilltop,sommet de colline0=
ENG FRE,him,"le, lui5"
ENG FRE,hind part,"partie postérieure, postérieur, de derrière"
ENG FRE,biche0hinds&hind,"postérieur, arrière1="
ENG FRE,hindering4hinderance,gêne; empêchement; obstacle0=
ENG FRE,hinderers hindermost,dernier1
ENG FRE,hindrances;hindsight,rétrospection; sagesse d'après coup0=
ENG FRE,hip event,"événement récent, événement du moment"
ENG FRE,hip,"hanche; cuisse, joint à cuisse; gratte-cul (nourriture)0>"
ENG FRE,hip,se fouler la hanche; avoir le cafard2
ENG FRE,hip,au courant; dans le vent; branché; mis à jour; boiteux1
ENG FRE,hip,hip hip hip hourra!4
ENG FRE,hippocampi/hippodrome,hippodrome0
ENG FRE,hire a car,louer une voiture
ENG FRE,hirelings/hirer,"locataire, employeur0"
ENG FRE,his Grace,Sa Majesté
ENG FRE,his anger,"sa colère, sa rage"
ENG FRE,his coeval,"son semblable (garçon de son âge), sa semblable (fille de son âge)"
ENG FRE,his enemy,son ennemi
ENG FRE,his fault,sa faute
ENG FRE,his flock,"ses ouailles (ses disciples, ses élèves, ses fidèles)"
ENG FRE,sa vie/his /lifetime;his lips,"ses lèvres, sa lèvre"
ENG FRE,his mother,sa mère
ENG FRE,his slave,son esclave
ENG FRE,his spouse,"son épouse, sa conjointe, sa femme"
ENG FRE,his weight,"son poids ; son influence, son pouvoir"
ENG FRE,his wrath,"son courroux, sa colère"
ENG FRE,his,son5
ENG FRE,hiss down,"siffler, chuinter"
ENG FRE,histamines7histidine,"histidine, acine aminé (chimie)0"
ENG FRE,histograms?histoid,"histoïde, semblable à un tissu (médecine)1"
ENG FRE,histolyses_histolytic,"histolytique, relatif à l'histolyse, dissolution des tissus (biologie)1"
ENG FRE,historiansHhistoric angle,perspective historique
ENG FRE,histories-histrionic,"théâtral, dramatique1"
ENG FRE,hit a nail,clouer un clou; tomber juste
ENG FRE,hit out at,s'en prendre à quelqu'un
ENG FRE,hit,"coup, tir au but, coup réussi; succès, tube (hit-parade)0"
ENG FRE,hit,"frapper, atteindre; toucher, heurter, trouver2"
ENG FRE,hitch knot,noeud de perche (sorte de noeud)
ENG FRE,ruche0=hives8hive,vivre en compagnie2
ENG FRE,ho,ho! (interjection)4=
ENG FRE,hoarfrosts0hoariness,vieillesse; cheveux gris0
ENG FRE,hob,plaque chauffante auprès de l'âtre0
ENG FRE,dada0hobbyhorses(hobbyist,amateur0
ENG FRE,hobbyistsAhobgoblin,"lunin, fantôme, croque-mitaine0"
ENG FRE,hobgoblinsChobnail,"caboche, chaussure à semelle cloutée0"
ENG FRE,hoc,ceci (en latin)5!
ENG FRE,hockshopsAhocus pocus,"abracadabra, tromperie, supercherie"
ENG FRE,hod,hotte de maçon0
ENG FRE,hoe,"houe, binette0="
ENG FRE,hoe,"houer, biner2="
ENG FRE,hog,"porc, pourceau0="
ENG FRE,hog,élever des porcs (pour gavage); comporter comme un cochon2!
ENG FRE,hoist sail,"naviguer, lever l'ancre"
ENG FRE,hol hamoed,jours de demi-fête
ENG FRE,hol hamoed-hola,"salut, bonjour (espagnol)4"
ENG FRE,hold cheap,"mépriser, dédaigner"
ENG FRE,hold dear,chérir
ENG FRE,hold fire!,"arrêtez de tirer!, cessez le feu! (ordre obligatoire de cesse de tirer)"
ENG FRE,hold firm,être ferme
ENG FRE,hold sway,"tenir bon, survivre"
ENG FRE,holdbacksholder in due course,homme possédant un acte qui à été légalement transféré chez lui
ENG FRE,holdoverseholds advanced opinions,progresser dans ses idées
ENG FRE,percé1!Iholiday eve,"soir de fête, veille de fête"
ENG FRE,hollanders/hollander,"hollandais, de Hollande1"
ENG FRE,hollering;hollo,hello! interjection de bienvenue0
ENG FRE,houx0!hollies3hollyhock,guimauve (fleur)0
ENG FRE,hollyhocksJholm,"petite île; îlot (de rivière); chêne vert, yeuse0"
ENG FRE,holocaustspholocrine,"holocrine, glande produisant les résultats de la décomposition des cellules glandulaires1"
ENG FRE,hologramsVholograph,holographe (document écrit par l'écrivain lui-même)0
ENG FRE,holographsGholographic,holographique (écrit par l'écrivain lui même)1
ENG FRE,holy books,"Livres saints, écrits saints>"
ENG FRE,holy place,Lieu saint>
ENG FRE,holy site,lieu saint
ENG FRE,holy water,eau bénite
ENG FRE,home field,propre terrain (terrain ou stade où l'équipe s'entraîne habituellement et où elle se sent donc plus à l'aise)
ENG FRE,home front,"arrière garde, derrière (terme militaire, zone gardée, zone derrière la ligne de combat)"
ENG FRE,home game,"sport domestique, sport familial (concours sportif qui se passe sur le terrain familial)"
ENG FRE,home port,propre port (port où sont amarrés les bateaux habituellement entre les expéditions)
ENG FRE,home-brew,production domestique (boisson)
ENG FRE,home-made,fait à la maison
ENG FRE,homebodies,"à la maison, en direction de la maison1"
ENG FRE,homelands,"sans foyer, sans abri; sans-logis (sur le pavé, qui vit dans la rue)1?"
ENG FRE,homeliestBhomemade,"fabriqué à la maison, production domestique1>"
ENG FRE,homemakershomemaking,ménage0
ENG FRE,homeopathsWhomeopathic medicine,médicament homéopathique
ENG FRE,homeownersâhomepage,"site domestique, page de données que l'on peut voir chez soi, document composé de plusieurs textes ou renseignements sur internet consacré à un sujet précis, une société définie ou un individu0"
ENG FRE,homepagesªhomeroom,salle de classe (la salle du professeur principal à l'école dont les différentes matières d'enseignement sont menées aux salles diverses)0>
ENG FRE,homerooms2homesick,nostalgique (à son demeure)1>
ENG FRE,homesites@homespun,tissu de fabrication domestique0
ENG FRE,homespuns8homespun,"de fabrication domestique, simple1"
ENG FRE,homesteadsHhomesteader,propriétaire d'une ferme agricole0!
ENG FRE,hometowns6homeward,vers sa maison; vers sa demeure3=
ENG FRE,homicides·homiletic commentaries,recueils exégésiques homilétiques (des légendes et des adages de sages du Talmud basées sur des histoires bibliques)
ENG FRE,hominoids1hominum,"individu, homme (en latin)0"
ENG FRE,homogeniesohomograft,"homogreffe ou homoplastie, greffe prise auprès d'un animal de la même espèce0"
ENG FRE,homograftshomograph,"homographe (mot identique en orthographe mais différent d'origine, de signification et de son)0!"
ENG FRE,homographszhomographic,homographique (se dit de deux mots à l'orthographe identique mais à la prononciation différente)1
ENG FRE,homologuesKhomology,"homologie (identité, égalité, adaptation)0!"
ENG FRE,homologies8homomorphic,"homomorphe, de forme similaire1"
ENG FRE,homophoneshomophonic,homophonique (relatif aux mots identiques dans leur prononciation mais différents dans leur orthographe)1
ENG FRE,homotypesjhomotypic,homotypique (concernant un organe ou une part similaire par structure à une autre)1!
ENG FRE,homunculi(homy,intime1
ENG FRE,honey cake,"pain d'épice, gâteau au miel"
ENG FRE,miel0honeysYhoney,lécher; être tout miel2
ENG FRE,honey-like,"mielleux, doux"
ENG FRE,honeybees@honeycomb,rayon de miel; nid d'abeilles0=
ENG FRE,honeycombs!honeycombed,alvéolé1
ENG FRE,honeydews)honeyed,"doucereux, mielleux1"
ENG FRE,honeymoonsPhoneymoon,être en lune de miel2=
ENG FRE,honorables)honorable,"honorable, estimé1>"
ENG FRE,honorariahonorariumsHhonorary citizen,honorable citoyen
ENG FRE,honorifics=honorific,"honorifique, qui confère les honneurs1!"
ENG FRE,hoodooing?hoodwink,tromper2!
