Source,Word,Definition
ADHESIVE,split (to),"""séparer; refendre"""
ADHESIVE,spray (to),pistolèter
ADHESIVE,spray gun,pistolet
ADHESIVE,stabiliser,stabilisateur
ADHESIVE,stain (to),saigner
ADHESIVE,"initiateur,starting formulation",formule d'orientation
ADHESIVE,stick (to),"""adhérer; coller"""
ADHESIVE,stiffness,"""raideur; rigidité"""
ADHESIVE,stringing,filage
ADHESIVE,strip (to),"""enlever; retirer; décoller"""
ADHESIVE,substance,grammage
ADHESIVE,substrate,"""matériau de base; support; subjectile"""
ADHESIVE,surfactant,mouillant
ADHESIVE,tackifier,"""agent tackifiant; agent collant"""
ADHESIVE,tackiness,"""adhésivité; force de prise"""
ADHESIVE,thermoses,duroplastique
ADHESIVE,thixotropy,thixotropie
ADHESIVE,trim shop,contrecollage de pièces internes dans l'automobile
ADHESIVE,undercured,"""non durci; sous réticulé"""
ADHESIVE,unhardened,laitance
ADHESIVE,non colléunwind (to),dérouler
ADHESIVE,UV-curing,réticulation u.v.
ADHESIVE,viscosity,viscosité
ADHESIVE,béton lavéwaste,"""déchet; échenillage"""
ADHESIVE,waterbome,à l'eau
ADHESIVE,wrinkling,"""plissage; froissage; cloquage"""
ADHESIVE,yellowing,jaunissement
ATM FOrum,Adjacency,The relationship between two communicating neighboring peer nodes.
ATM FOrum,B-ICI SAAL,B-ICI Signaling ATM Adaptation Layer: A signaling layer that permits the transfer of connection control signaling and ensures reliable delivery of the protocol message. The SAAL is divided into a Service Specific part and a Common part (AAL5).
ATM FOrum,Broadband,A service or system requiring transmission channels capable of supporting rates greater than the Integrated Services Digital Network (ISDN) primary rate.
ATM FOrum,Broadcast,Data transmission to all addresses or functions.
ATM FOrum,Child Node,"A node at the next lower level of the hierarchy which is contained in the peer group represented by the logical group node currently referenced. This could be a logical group node, or a physical node."
ATM FOrum,Connection,In switched virtual connection (SVC) environments the LAN Emulation Management entities set up connections between each other using UNI signaling.
ATM FOrum,Crankback,A mechanism for partially releasing a connection setup in progress which has encountered a failure. This mechanism allows PNNI to perform alternate routing.
ATM FOrum,Direct Set,A set of host interfaces which can establish direct layer two communications for unicast (not needed in MPOA).
ATM FOrum,DSS2 Setup,DSS2 Digital Subscriber Signalling System #2: B-ISDN UNI Signalling
ATM FOrum,Exception,A connectivity advertisement in a PNNI complex node representation that represents something other than the default node representation.
ATM FOrum,H-Channel,"H-Channels are ISDN bearer services that have pre-defined speeds, starting and stopping locations on a PRI and are contiguously transported from one PRI site through networks to another PRI site."
ATM FOrum,H0 Channel,A 384 kbps channel that consists of six contiguous DS0s (64 kbps) of a T1 line.
ATM FOrum,ITU H.,An ITU-T Study Group 15 standard that addresses the multiplexing of multimedia data on an ATM network.
ATM FOrum,ITU Q.,B-ISDN Signaling ATM Adapation Layer Overview.
ATM FOrum,ITU Q.,B-ISDN Adapation Layer -- Service Specific Connection Oriented Protocol.
ATM FOrum,ITU Q.,B-ISDN Adapation Layer -- Service Specific Connection Oriented Function for Support of Signaling at the UNI.
ATM FOrum,ITU Q.,The signaling standard for ATM to support Switched Virtual Connections. This is based on the signaling standard for ISDN.
ATM FOrum,ITU Q.,The signaling standard for ISDN to support SVCs. The basis for the signaling standard developed for Frame Relay and ATM.
ATM FOrum,ITU Q.,The signaling standard for Frame Relay to support SVCs. This is based on the signaling standard for ISDN.
ATM FOrum,MIB Object,"A collection of attributes that can be used to configure, manage, or analyze an aspect of the PNNI protocol's operation."
