headword,pos,definition,examples,synonyms
contact,verb,be in or establish communication with [verb.communication] | be in direct physical contact with [verb.contact],"Our advertisements reach millions | He never contacted his children after he emigrated to Australia | ""Our advertisements reach millions"" | ""He never contacted his children after he emigrated to Australia"" | The two buildings touch","reach, get through, get hold of, touch, adjoin, meet"
contain,verb,"include or contain [verb.stative] | contain or hold [verb.stative] | lessen the intensity of [verb.social] | be divisible by [verb.stative] | be capable of holding or containing [verb.stative] | hold back, as of a danger or an enemy [verb.competition]","A totally new idea is comprised in this paper | The record contains many old songs from the 1930's | have as a component | ""A totally new idea is comprised in this paper"" | ""The record contains many old songs from the 1930's""","incorporate, comprise, hold, bear, carry, control, hold in, check, curb, moderate, take, turn back, arrest, stop, hold back"
containerise,verb,package in a container [verb.contact],"The cargo was containerized for safe and efficient shipping | ""The cargo was containerized for safe and efficient shipping""",containerize
containerize,verb,package in a container [verb.contact],"The cargo was containerized for safe and efficient shipping | ""The cargo was containerized for safe and efficient shipping""",containerise
contaminate,verb,make impure [verb.change] | make radioactive by adding radioactive material [verb.change],"The industrial wastes polluted the lake | ""The industrial wastes polluted the lake"" | Don't drink the water--it's contaminated | ""Don't drink the water--it's contaminated""","pollute, foul"
contemn,verb,look down on with disdain [verb.emotion],"He despises the people he has to work for | The professor scorns the students who don't catch on immediately | ""He despises the people he has to work for"" | ""The professor scorns the students who don't catch on immediately""","despise, scorn, disdain"
contemplate,verb,"look at thoughtfully [verb.perception] | consider as a possibility [verb.cognition] | think intently and at length, as for spiritual purposes [verb.cognition]","contemplate one's navel | observe deep in thought | ""contemplate one's navel"" | I contemplated leaving school and taking a full-time job | ""I contemplated leaving school and taking a full-time job""","study, meditate"
contemporise,verb,happen at the same time [verb.stative] | arrange or represent events so that they co-occur [verb.cognition],"synchronize biblical events | ""synchronize biblical events""","synchronize, synchronise, contemporize"
contemporize,verb,happen at the same time [verb.stative] | arrange or represent events so that they co-occur [verb.cognition],"synchronize biblical events | ""synchronize biblical events""","synchronize, synchronise, contemporise"
contend,verb,"maintain or assert [verb.communication] | have an argument about something [verb.communication] | to make the subject of dispute, contention, or litigation [verb.communication] | come to terms with [verb.social] | compete for something [verb.competition] | be engaged in a fight [verb.competition]","He contended that Communism had no future | ""He contended that Communism had no future"" | They contested the outcome of the race | ""They contested the outcome of the race"" | We got by on just a gallon of gas","postulate, argue, debate, fence, contest, repugn, cope, get by, make out, make do, grapple, deal, manage, compete, vie, fight, struggle"
content,verb,satisfy in a limited way [verb.consumption] | make content [verb.emotion],"He contented himself with one glass of beer per day | ""He contented himself with one glass of beer per day"" | I am contented | ""I am contented""",
contest,verb,"to make the subject of dispute, contention, or litigation [verb.communication]","They contested the outcome of the race | ""They contested the outcome of the race""","contend, repugn"
continue,verb,"continue a certain state, condition, or activity [verb.stative] | continue talking [verb.communication] | keep or maintain in unaltered condition [verb.stative] | move ahead [verb.motion] | allow to remain in a place or position or maintain a property or feature [verb.social] | do something repeatedly and showing no intention to stop [verb.stative] | continue after an interruption [verb.stative] | continue in a place, position, or situation [verb.stative] | span an interval of distance, space or time [verb.stative] | exist over a prolonged period of time [verb.change]","Keep on working! | We continued to work into the night | Keep smiling | We went on working until well past midnight | ""Keep on working!""","go on, proceed, go along, keep, carry on, uphold, bear on, preserve, go forward, retain, keep on, persist in, stay, stay on, remain, cover, extend"
contort,verb,twist and press out of shape [verb.contact],,"deform, distort, wring"
contour,verb,form the contours of [verb.creation],,
contra danse,verb,perform a contradance [verb.motion],,"contradance, country-dance, contredanse"
contract,verb,"enter into a contractual arrangement [verb.communication] | engage by written agreement [verb.social] | squeeze or press together [verb.contact] | be stricken by an illness, fall victim to an illness [verb.body] | become smaller or draw together [verb.change] | make smaller [verb.contact] | compress or concentrate [verb.change] | make or become more narrow or restricted [verb.change] | reduce in scope while retaining essential elements [verb.change]","They signed two new pitchers for the next season | ""They signed two new pitchers for the next season"" | she compressed her lips | the spasm contracted the muscle | ""she compressed her lips""","undertake, sign, sign on, sign up, compress, constrict, squeeze, compact, press, take, get, shrink, condense, concentrate, narrow, abridge, foreshorten, abbreviate, shorten, cut"
contract in,verb,consent in writing to pay money to a trade union for political use [verb.communication],,
contract out,verb,assign a job to someone outside one's own business [verb.social] | refuse to pay a levy to a union for political use [verb.communication],,
contradance,verb,perform a contradance [verb.motion],,"country-dance, contredanse, contra danse"
contradict,verb,be in contradiction with [verb.stative] | deny the truth of [verb.communication] | be resistant to [verb.communication] | prove negative [verb.cognition],"The board opposed his motion | ""The board opposed his motion"" | show to be false","belie, negate, contravene, oppose, controvert"
contradistinguish,verb,distinguish by contrasting qualities [verb.cognition],,
contraindicate,verb,make a treatment inadvisable [verb.communication],,
contrast,verb,put in opposition to show or emphasize differences [verb.cognition] | to show differences when compared [verb.stative],"The middle school teacher contrasted her best student's work with that of her weakest student | ""The middle school teacher contrasted her best student's work with that of her weakest student"" | the students contrast considerably in their artistic abilities | be different | ""the students contrast considerably in their artistic abilities""",counterpoint
contravene,verb,"go against, as of rules and laws [verb.social] | deny the truth of [verb.communication]","He ran afoul of the law | This behavior conflicts with our rules | ""He ran afoul of the law"" | ""This behavior conflicts with our rules""","conflict, run afoul, infringe, contradict, negate"
contredanse,verb,perform a contradance [verb.motion],,"contradance, country-dance, contra danse"
contribute,verb,bestow a quality on [verb.possession] | contribute to some cause [verb.possession] | be conducive to [verb.social] | provide [verb.possession],"Her presence lends a certain cachet to the company | The music added a lot to the play | She brings a special atmosphere to our meetings | This adds a light note to the program | ""Her presence lends a certain cachet to the company""","lend, impart, bestow, add, bring, give, chip in, kick in, lead, conduce, put up"
contrive,verb,"make or work out a plan for [verb.creation] | come up with (an idea, plan, explanation, theory, or principle) after a mental effort [verb.creation] | put or send forth [verb.creation]","They contrived to murder their boss | design a new sales strategy | plan an attack | devise | ""They contrived to murder their boss""","plan, project, design, invent, devise, excogitate, formulate, forge, cast, throw"
control,verb,"exercise authoritative control or power over [verb.social] | lessen the intensity of [verb.social] | handle and cause to function [verb.contact] | control (others or oneself) or influence skillfully, usually to one's advantage [verb.emotion] | check or regulate (a scientific experiment) by conducting a parallel experiment or comparing with another standard [verb.social] | verify by using a duplicate register for comparison [verb.cognition] | be careful or certain to do something [verb.cognition] | have a firm understanding or knowledge of [verb.cognition]","control the budget | Command the military forces | ""control the budget"" | ""Command the military forces"" | moderate your alcohol intake","command, hold in, hold, contain, check, curb, moderate, operate, manipulate, keep in line, verify, see, insure, see to it, ensure, ascertain, assure, master"
controvert,verb,be resistant to [verb.communication] | prove to be false or incorrect [verb.cognition],"The board opposed his motion | ""The board opposed his motion""","oppose, contradict, refute, rebut"
contuse,verb,injure the underlying soft tissue or bone of [verb.contact],"I bruised my knee | ""I bruised my knee""",bruise
convalesce,verb,get over an illness or shock [verb.body],"The patient is recuperating | ""The patient is recuperating""","recuperate, recover"
convect,verb,circulate hot air by convection [verb.motion],,
convene,verb,meet formally [verb.motion] | call together [verb.communication],"The council convened last week | ""The council convened last week"" | The students were convened in the auditorium | ""The students were convened in the auditorium""",convoke
conventionalise,verb,make conventional or adapt to conventions [verb.change],"conventionalized behavior | ""conventionalized behavior""",conventionalize
conventionalize,verb,make conventional or adapt to conventions [verb.change] | represent according to a conventional style [verb.creation],"conventionalized behavior | ""conventionalized behavior"" | a stylized female head | ""a stylized female head""","conventionalise, stylize, stylise"
converge,verb,be adjacent or come together [verb.stative] | approach a limit as the number of terms increases without limit [verb.stative] | move or draw together at a certain location [verb.motion] | come together so as to form a single product [verb.change],"The lines converge at this point | ""The lines converge at this point"" | The crowd converged on the movie star | ""The crowd converged on the movie star"" | Social forces converged to bring the Fascists back to power",meet
converse,verb,carry on a conversation [verb.communication],,discourse
convert,verb,"change from one system to another or to a new plan or policy [verb.change] | change the nature, purpose, or function of something [verb.change] | change religious beliefs, or adopt a religious belief [verb.change] | exchange or replace with another, usually of the same kind or category [verb.change] | cause to adopt a new or different faith [verb.change] | score an extra point or points after touchdown by kicking the ball through the uprights or advancing the ball into the end zone [verb.competition] | complete successfully [verb.competition] | score (a spare) [verb.competition] | make (someone) agree, understand, or realize the truth or validity of something [verb.communication] | exchange a penalty for a less severe one [verb.change] | change in nature, purpose, or function [verb.change]","We converted from 220 to 110 Volt | ""We converted from 220 to 110 Volt"" | convert lead into gold | convert hotels into jails | convert slaves to laborers","change over, change, exchange, commute, win over, convince"
convey,verb,make known [verb.communication] | serve as a means for expressing something [verb.communication] | transfer to another [verb.possession] | transmit a title or property [verb.possession] | transmit or serve as the medium for transmission [verb.motion] | take something or somebody with oneself somewhere [verb.motion] | go or come after and bring or take back [verb.contact],"She conveyed the message to me | pass on, of information | ""She conveyed the message to me"" | The painting of Mary carries motherly love | His voice carried a lot of anger","carry, express, transmit, communicate, impart, conduct, channel, bring, take, get, fetch"
convict,verb,find or declare guilty [verb.communication],"The man was convicted of fraud and sentenced | ""The man was convicted of fraud and sentenced""",
convince,verb,"make (someone) agree, understand, or realize the truth or validity of something [verb.communication]","He had finally convinced several customers of the advantages of his product | ""He had finally convinced several customers of the advantages of his product""","convert, win over"
convoke,verb,call together [verb.communication],"The students were convened in the auditorium | ""The students were convened in the auditorium""",convene
convolute,verb,"curl, wind, or twist together [verb.contact] | practice sophistry [verb.communication]","Don't twist my words | change the meaning of or be vague about in order to mislead or deceive | ""Don't twist my words""","convolve, twist, twist around, pervert, sophisticate"
convolve,verb,"curl, wind, or twist together [verb.contact]",,convolute
convoy,verb,escort in transit [verb.motion],"the trucks convoyed the cars across the battle zone | the warships convoyed the merchant ships across the Pacific | ""the trucks convoyed the cars across the battle zone"" | ""the warships convoyed the merchant ships across the Pacific""",
convulse,verb,"make someone convulse with laughter [verb.communication] | be overcome with laughter [verb.body] | move or stir about violently [verb.motion] | shake uncontrollably [verb.motion] | cause to contract [verb.contact] | contract involuntarily, as in a spasm [verb.contact]","The comedian convulsed the crowd | ""The comedian convulsed the crowd"" | The feverish patient thrashed around in his bed | ""The feverish patient thrashed around in his bed"" | earthquakes convulsed the countryside","thresh, thresh about, thrash, thrash about, slash, toss, jactitate"
coo,verb,"speak softly or lovingly [verb.communication] | cry softly, as of pigeons [verb.communication]","The mother who held her baby was cooing softly | ""The mother who held her baby was cooing softly""",
cooccur,verb,"go with, fall together [verb.stative]",,"coincide, co-occur"
cooccur with,verb,go or occur together [verb.stative],"The word 'hot' tends to cooccur with 'cold' | ""The word 'hot' tends to cooccur with 'cold'""","collocate with, construe with, co-occur with, go with"
cook,verb,"prepare a hot meal [verb.creation] | prepare for eating by applying heat [verb.creation] | transform and make suitable for consumption by heating [verb.change] | tamper, with the purpose of deception [verb.social] | transform by heating [verb.change]","My husband doesn't cook | ""My husband doesn't cook"" | Cook me dinner, please | can you make me an omelette? | fix breakfast for the guests, please","fix, ready, make, prepare, fudge, manipulate, fake, falsify, wangle, misrepresent"
cook out,verb,cook outdoors on a barbecue grill [verb.change],"let's barbecue that meat | We cooked out in the forest | ""let's barbecue that meat"" | ""We cooked out in the forest""","barbeque, barbecue"
cook up,verb,prepare or cook by mixing ingredients [verb.creation] | make up something artificial or untrue [verb.creation],"concoct a strange mixture | ""concoct a strange mixture""","concoct, fabricate, manufacture, make up, invent"
cool,verb,make cool or cooler [verb.change] | loose heat [verb.change] | lose intensity [verb.change],"Chill the food | ""Chill the food"" | The air cooled considerably after the thunderstorm | ""The air cooled considerably after the thunderstorm"" | His enthusiasm cooled considerably","chill, cool down, cool off"
cool down,verb,make cool or cooler [verb.change] | lose intensity [verb.change] | loose heat [verb.change],"Chill the food | ""Chill the food"" | His enthusiasm cooled considerably | ""His enthusiasm cooled considerably"" | The air cooled considerably after the thunderstorm","cool, chill, cool off"
cool it,verb,"become quiet or calm, especially after a state of agitation [verb.emotion]","After the fight both men need to cool off. | It took a while after the baby was born for things to settle down again. | ""After the fight both men need to cool off."" | ""It took a while after the baby was born for things to settle down again.""","calm, calm down, cool off, chill out, simmer down, settle down"
cool off,verb,"become quiet or calm, especially after a state of agitation [verb.emotion] | lose intensity [verb.change] | feel less enamoured of something or somebody [verb.emotion]","After the fight both men need to cool off. | It took a while after the baby was born for things to settle down again. | ""After the fight both men need to cool off."" | ""It took a while after the baby was born for things to settle down again."" | His enthusiasm cooled considerably","calm, calm down, chill out, simmer down, settle down, cool it, cool, cool down"
cool one's heels,verb,wait or pass the time aimlessly or futilely [verb.stative],"She kicked her heels for hours at the gate of the Embassy | be kept waiting | ""She kicked her heels for hours at the gate of the Embassy""",kick one's heels
coop in,verb,confine in or as if in a coop [verb.contact],"she coops herself up in the library all day | ""she coops herself up in the library all day""",coop up
coop up,verb,confine in or as if in a coop [verb.contact],"she coops herself up in the library all day | ""she coops herself up in the library all day""",coop in
cooper,verb,make barrels and casks [verb.creation],,
cooperate,verb,work together on a common enterprise of project [verb.social],"The soprano and the pianist did not get together very well | We joined forces with another research group | ""The soprano and the pianist did not get together very well"" | ""We joined forces with another research group""","collaborate, join forces, get together"
coordinate,verb,"bring order and organization to [verb.change] | bring into common action, movement, or condition [verb.social] | be co-ordinated [verb.social] | bring (components or parts) into proper or desirable coordination correlation [verb.change]","Can you help me organize my files? | ""Can you help me organize my files?"" | coordinate the painters, masons, and plumbers | coordinate his actions with that of his colleagues | coordinate our efforts","organize, organise, align, ordinate"
cop,verb,take by theft [verb.possession] | take into custody [verb.contact],"Someone snitched my wallet! | ""Someone snitched my wallet!"" | the police nabbed the suspected criminals | ""the police nabbed the suspected criminals""","hook, snitch, thieve, knock off, glom, collar, nail, apprehend, arrest, pick up, nab"
cop out,verb,"choose not to do something, as out of fear of failing [verb.cognition]","She copped out when she was supposed to get into the hang glider | ""She copped out when she was supposed to get into the hang glider""",opt out
cope,verb,come to terms with [verb.social],"We got by on just a gallon of gas | They made do on half a loaf of bread every day | ""We got by on just a gallon of gas"" | ""They made do on half a loaf of bread every day""","get by, make out, make do, contend, grapple, deal, manage"
cope with,verb,satisfy or fulfill [verb.social],"meet a need | this job doesn't match my dreams | ""meet a need"" | ""this job doesn't match my dreams""","meet, match"
copolymerise,verb,polymerize together [verb.change],"the two substances copolymerized | ""the two substances copolymerized""",copolymerize
copolymerize,verb,polymerize together [verb.change],"the two substances copolymerized | ""the two substances copolymerized""",copolymerise
copper,verb,coat with a layer of copper [verb.contact],,
copper-bottom,verb,provide with a copper bottom [verb.possession],"copper-bottom a frying pan | ""copper-bottom a frying pan""",
copulate,verb,engage in sexual intercourse [verb.contact],"Birds mate in the Spring | ""Birds mate in the Spring""","mate, pair, couple"
copy,verb,copy down as is [verb.creation] | reproduce someone's behavior or looks [verb.creation] | reproduce or make an exact copy of [verb.creation] | make a replica of [verb.creation],"The students were made to copy the alphabet over and over | ""The students were made to copy the alphabet over and over"" | The mime imitated the passers-by | Children often copy their parents or older siblings | ""The mime imitated the passers-by""","imitate, simulate, replicate, re-create"
copy out,verb,copy very carefully and as accurately as possible [verb.creation],,
copyedit,verb,edit and correct (written or printed material) [verb.cognition],,"copyread, subedit"
copyread,verb,edit and correct (written or printed material) [verb.cognition],,"subedit, copyedit"
copyright,verb,secure a copyright on a written work [verb.possession],"did you copyright your manuscript? | ""did you copyright your manuscript?""",
coquet,verb,"talk or behave amorously, without serious intentions [verb.communication]","The guys always try to chat up the new secretaries | My husband never flirts with other women | ""The guys always try to chat up the new secretaries"" | ""My husband never flirts with other women""","chat up, flirt, dally, butterfly, coquette, romance, philander, mash"
coquette,verb,"talk or behave amorously, without serious intentions [verb.communication]","The guys always try to chat up the new secretaries | My husband never flirts with other women | ""The guys always try to chat up the new secretaries"" | ""My husband never flirts with other women""","chat up, flirt, dally, butterfly, coquet, romance, philander, mash"
corbel,verb,furnish with a corbel [verb.possession],,
cord,verb,stack in cords [verb.contact] | bind or tie with a cord [verb.contact],"cord firewood | ""cord firewood""",
cordon off,verb,divide by means of a rope [verb.contact],"The police roped off the area where the crime occurred | ""The police roped off the area where the crime occurred""","rope in, rope off"
corduroy,verb,build (a road) from logs laid side by side [verb.creation],,
core,verb,remove the core or center from [verb.contact],"core an apple | ""core an apple""",
core out,verb,remove the interior of [verb.contact],"hollow out a tree trunk | ""hollow out a tree trunk""","hollow, hollow out"
cork,verb,close a bottle with a cork [verb.contact] | stuff with cork [verb.change],"The baseball player stuffed his bat with cork to make it lighter | ""The baseball player stuffed his bat with cork to make it lighter""",cork up
cork up,verb,close a bottle with a cork [verb.contact],,cork
corkscrew,verb,move in a spiral or zigzag course [verb.motion],,spiral
corn,verb,feed (cattle) with corn [verb.consumption] | preserve with salt [verb.change],"corned beef | ""corned beef""",
corner,verb,gain control over [verb.social] | force a person or an animal into a position from which he cannot escape [verb.motion] | turn a corner [verb.motion],"corner the gold market | ""corner the gold market"" | the car corners | ""the car corners""",tree
cornice,verb,furnish with a cornice [verb.possession],,
coronate,verb,invest with regal power [verb.social],"The prince was crowned in Westminster Abbey | enthrone | ""The prince was crowned in Westminster Abbey""",crown
corrade,verb,wear away [verb.contact],,"abrade, abrase, rub down, rub off"
corral,verb,enclose in a corral [verb.contact] | arrange wagons so that they form a corral [verb.contact] | collect or gather [verb.contact],"corral the horses | ""corral the horses"" | corralling votes for an election | ""corralling votes for an election""",
correct,verb,make right or correct [verb.change] | make reparations or amends for [verb.social] | censure severely [verb.communication] | adjust for [verb.stative] | punish in order to gain control or enforce obedience [verb.social] | go down in value [verb.motion] | alter or regulate so as to achieve accuracy or conform to a standard [verb.change] | treat a defect [verb.body],"Correct the mistakes | rectify the calculation | ""Correct the mistakes"" | ""rectify the calculation"" | right a wrongs done to the victims of the Holocaust","rectify, right, compensate, redress, chastise, castigate, objurgate, chasten, counterbalance, make up, even out, even off, even up, discipline, sort out, decline, slump, adjust, set"
correlate,verb,"to bear a reciprocal or mutual relation [verb.stative] | bring into a mutual, complementary, or reciprocal relation [verb.cognition]","Do these facts correlate? | ""Do these facts correlate?"" | I cannot correlate these two pieces of information | ""I cannot correlate these two pieces of information""",
correspond,verb,"be compatible, similar or consistent [verb.stative] | be equivalent or parallel, in mathematics [verb.stative] | exchange messages [verb.communication] | take the place of or be parallel or equivalent to [verb.stative]","The two stories don't agree in many details | The handwriting checks with the signature on the check | The suspect's fingerprints don't match those on the gun | coincide in their characteristics | ""The two stories don't agree in many details""","match, fit, check, jibe, gibe, tally, agree, equate, represent, stand for"
corroborate,verb,establish or strengthen as with new evidence or facts [verb.cognition] | give evidence for [verb.communication] | support with evidence or authority or make more certain or confirm [verb.stative],"his story confirmed my doubts | The evidence supports the defendant | ""his story confirmed my doubts"" | ""The evidence supports the defendant"" | The stories and claims were born out by the evidence","confirm, sustain, substantiate, support, affirm, validate, underpin, bear out"
corrode,verb,"cause to deteriorate due to the action of water, air, or an acid [verb.change] | become destroyed by water, air, or a corrosive such as an acid [verb.change]","The acid corroded the metal | The steady dripping of water rusted the metal stopper in the sink | ""The acid corroded the metal"" | ""The steady dripping of water rusted the metal stopper in the sink"" | The metal corroded","eat, rust"
corrugate,verb,fold into ridges [verb.contact],"corrugate iron | ""corrugate iron""",
corrupt,verb,make illegal payments to in exchange for favors or influence [verb.possession] | place under suspicion or cast doubt upon [verb.contact] | alter from the original [verb.change],"This judge can be bought | ""This judge can be bought"" | sully someone's reputation | ""sully someone's reputation""","bribe, buy, grease one's palms, defile, sully, taint, cloud, spoil"
corset,verb,dress with a corset [verb.body],,
coruscate,verb,reflect brightly [verb.weather] | be lively or brilliant or exhibit virtuosity [verb.change],"Unquarried marble sparkled on the hillside | ""Unquarried marble sparkled on the hillside"" | The musical performance sparkled | A scintillating conversation | his playing coruscated throughout the concert hall","sparkle, scintillate"
cosh,verb,"hit with a cosh, usually on the head [verb.contact]",,
cosign,verb,"sign jointly [verb.social] | sign and endorse (another person's signature), as for a loan [verb.communication]","Husband and wife co-signed the lease | ""Husband and wife co-signed the lease""",co-sign
cosponsor,verb,sponsor together with another sponsor [verb.possession],,
cosset,verb,treat with excessive indulgence [verb.social],"grandparents often pamper the children | Let's not mollycoddle our students! | ""grandparents often pamper the children"" | ""Let's not mollycoddle our students!""","pamper, featherbed, cocker, baby, coddle, mollycoddle, spoil, indulge"
cost,verb,"be priced at [verb.stative] | require to lose, suffer, or sacrifice [verb.stative]","These shoes cost $100 | ""These shoes cost $100"" | This mistake cost him his job | ""This mistake cost him his job""",be
costume,verb,dress in a costume [verb.body] | furnish with costumes [verb.possession],"We dressed up for Halloween as pumpkins | ""We dressed up for Halloween as pumpkins"" | as for a film or play",dress up
cotton,verb,take a liking to [verb.emotion],"cotton to something | ""cotton to something""",
cotton on,verb,"understand, usually after some initial difficulty [verb.cognition]","She didn't know what her classmates were plotting but finally caught on | ""She didn't know what her classmates were plotting but finally caught on""","catch on, get wise, get onto, tumble, latch on, twig, get it"
cotton up,verb,ingratiate oneself to [verb.emotion],"She is playing up to the chairman | often with insincere behavior | ""She is playing up to the chairman""","cozy up, shine up, play up, sidle up, suck up"
couch,verb,formulate in a particular style or language [verb.communication],"I wouldn't put it that way | She cast her request in very polite language | ""I wouldn't put it that way"" | ""She cast her request in very polite language""","frame, redact, cast, put"
cough,verb,"exhale abruptly, as when one has a chest cold or congestion [verb.body]","The smoker coughs all day | ""The smoker coughs all day""",
cough out,verb,discharge (phlegm or sputum) from the lungs and out of the mouth [verb.body],,"expectorate, cough up, spit up, spit out"
cough up,verb,give reluctantly [verb.possession] | discharge (phlegm or sputum) from the lungs and out of the mouth [verb.body],"He coughed up some money for his children's tuition | ""He coughed up some money for his children's tuition""","pony up, spit up, expectorate, cough out, spit out"
counsel,verb,give advice to [verb.communication],"The teacher counsels troubled students | The lawyer counselled me when I was accused of tax fraud | ""The teacher counsels troubled students"" | ""The lawyer counselled me when I was accused of tax fraud""","rede, advise"
count,verb,determine the number or amount of [verb.communication] | have weight [verb.stative] | show consideration for [verb.communication] | name or recite the numbers in ascending order [verb.communication] | put into a group [verb.stative] | include as if by counting [verb.cognition] | have a certain value or carry a certain weight [verb.stative] | have faith or confidence in [verb.cognition] | take account of [verb.cognition],"Can you count the books on your shelf? | Count your change | ""Can you count the books on your shelf?"" | ""Count your change"" | It does not matter much","number, enumerate, numerate, matter, weigh, consider, bet, depend, look, calculate, reckon"
count down,verb,count backwards [verb.communication],"before detonating a bomb, for example",
count off,verb,call in turn from right to left or from back to front numbers that determine some position or function [verb.communication],,
count on,verb,judge to be probable [verb.cognition],,"calculate, estimate, reckon, figure, forecast"
count out,verb,declare the loser [verb.competition],,
countenance,verb,"consent to, give permission [verb.communication]","She permitted her son to visit her estranged husband | I won't let the police search her basement | I cannot allow you to see your exam | ""She permitted her son to visit her estranged husband"" | ""I won't let the police search her basement""","permit, allow, let"
counter,verb,speak in response [verb.communication] | act in advance of [verb.social],"He countered with some very persuasive arguments | ""He countered with some very persuasive arguments"" | deal with ahead of time","anticipate, foresee, forestall"
counter-drill,verb,drill in an opposite direction [verb.contact],,
counteract,verb,act in opposition to [verb.social] | oppose or check by a counteraction [verb.social] | oppose and mitigate the effects of by contrary actions [verb.social] | destroy property or hinder normal operations [verb.social],"This will counteract the foolish actions of my colleagues | ""This will counteract the foolish actions of my colleagues"" | The Resistance sabotaged railroad operations during the war | ""The Resistance sabotaged railroad operations during the war""","antagonize, antagonise, countercheck, countervail, neutralize, counterbalance, sabotage, undermine, countermine, subvert, weaken"
counterattack,verb,make a counterattack [verb.competition],,counterstrike
counterbalance,verb,adjust for [verb.stative] | contrast with equal weight or force [verb.stative] | oppose and mitigate the effects of by contrary actions [verb.social],"engineers will work to correct the effects or air resistance | ""engineers will work to correct the effects or air resistance"" | This will counteract the foolish actions of my colleagues | ""This will counteract the foolish actions of my colleagues""","compensate, correct, make up, even out, even off, even up, oppose, counteract, countervail, neutralize"
counterchallenge,verb,challenge in turn [verb.communication],"The authentication was counterchallenged | ""The authentication was counterchallenged""",
counterchange,verb,cause to change places [verb.change],"interchange this screw for one of a smaller size | ""interchange this screw for one of a smaller size""","transpose, interchange"
countercheck,verb,oppose or check by a counteraction [verb.social] | check a second time [verb.social],,counteract
counterclaim,verb,set up a claim in opposition to a previous claim [verb.communication],,
counterfeit,verb,make a copy of with the intent to deceive [verb.creation],"he faked the signature | they counterfeited dollar bills | She forged a Green Card | ""he faked the signature"" | ""they counterfeited dollar bills""","forge, fake"
countermand,verb,cancel officially [verb.communication],"He revoked the ban on smoking | lift an embargo | vacate a death sentence | ""He revoked the ban on smoking"" | ""lift an embargo""","revoke, annul, lift, reverse, repeal, overturn, rescind, vacate"
countermarch,verb,march back along the same way [verb.motion] | change the order of soldiers during a march [verb.cognition],,
countermine,verb,destroy property or hinder normal operations [verb.social] | destroy enemy mines with one's own mines [verb.competition],"The Resistance sabotaged railroad operations during the war | ""The Resistance sabotaged railroad operations during the war"" | We countermined the banks of the river | ""We countermined the banks of the river""","sabotage, undermine, counteract, subvert, weaken"
counterplot,verb,make a plot in response to another plot [verb.cognition],,
counterpoint,verb,to show differences when compared [verb.stative] | write in counterpoint [verb.creation],"the students contrast considerably in their artistic abilities | be different | ""the students contrast considerably in their artistic abilities"" | Bach perfected the art of counterpointing | ""Bach perfected the art of counterpointing""",contrast
counterpoise,verb,constitute a counterweight or counterbalance to [verb.stative],,"counterweight, counterpose"
counterpose,verb,constitute a counterweight or counterbalance to [verb.stative],,"counterweight, counterpoise"
countersign,verb,add one's signature to after another's to attest authenticity [verb.communication],"You must countersign on this line of the contract | ""You must countersign on this line of the contract""",
countersink,verb,"insert (a nail or screw below the surface, as into a countersink) [verb.contact]",,set
counterstrike,verb,make a counterattack [verb.competition],,counterattack
countervail,verb,compensate for or counterbalance [verb.stative] | oppose and mitigate the effects of by contrary actions [verb.social],"offset deposits and withdrawals | ""offset deposits and withdrawals"" | This will counteract the foolish actions of my colleagues | ""This will counteract the foolish actions of my colleagues""","offset, counteract, neutralize, counterbalance"
counterweight,verb,constitute a counterweight or counterbalance to [verb.stative],,"counterpoise, counterpose"
country-dance,verb,perform a contradance [verb.motion],,"contradance, contredanse, contra danse"
couple,verb,"bring two objects, ideas, or people together [verb.contact] | link together [verb.contact] | form a pair or pairs [verb.social] | engage in sexual intercourse [verb.contact]","This fact is coupled to the other one | Matchmaker, can you match my daughter with a nice young man? | The student was paired with a partner for collaboration on the project | ""This fact is coupled to the other one"" | ""Matchmaker, can you match my daughter with a nice young man?""","match, mate, pair, twin, couple on, couple up, pair off, partner off, copulate"
couple on,verb,link together [verb.contact],"can we couple these proposals? | ""can we couple these proposals?""","couple, couple up"
couple up,verb,link together [verb.contact],"can we couple these proposals? | ""can we couple these proposals?""","couple, couple on"
course,verb,"move swiftly through or over [verb.motion] | move along, of liquids [verb.motion] | hunt with hounds [verb.competition]","ships coursing the Atlantic | ""ships coursing the Atlantic"" | Water flowed into the cave | the Missouri feeds into the Mississippi | ""Water flowed into the cave""","run, flow, feed"
court,verb,make amorous advances towards [verb.social] | seek someone's favor [verb.social] | engage in social activities leading to marriage [verb.social],"John is courting Mary | ""John is courting Mary"" | China is wooing Russia | ""China is wooing Russia"" | We were courting for over ten years","woo, romance, solicit"
court favor,verb,seek favor by fawning or flattery [verb.communication],"This employee is currying favor with his superordinates | ""This employee is currying favor with his superordinates""","curry favor, curry favour, court favour"
court favour,verb,seek favor by fawning or flattery [verb.communication],"This employee is currying favor with his superordinates | ""This employee is currying favor with his superordinates""","curry favor, curry favour, court favor"
court-martial,verb,subject to trial by court-martial [verb.social],,
covenant,verb,enter into a covenant [verb.social] | enter into a covenant or formal agreement [verb.communication],"They covenanted with Judas for 30 pieces of silver | The nations covenanted to fight terrorism around the world | ""They covenanted with Judas for 30 pieces of silver"" | ""The nations covenanted to fight terrorism around the world""",
