headword,pos,definition,examples,synonyms
betel nut,noun,seed of betel palm [noun.food],chewed with leaves of the betel pepper and lime as a digestive stimulant and narcotic in southeastern Asia,areca nut
betel palm,noun,southeastern Asian palm bearing betel nuts (scarlet or orange single-seeded fruit with a fibrous husk) [noun.plant],,Areca catechu
betel pepper,noun,Asian pepper plant whose dried leaves are chewed with betel nut (seed of the betel palm) by southeast Asians [noun.plant],,"betel, Piper betel"
betelgeuse,noun,the second brightest star in Orion [noun.object],,Alpha Orionis
beth,noun,the 2nd letter of the Hebrew alphabet [noun.communication],,
bethe,noun,United States physicist (born in Germany) noted for research in astrophysics and nuclear physics (1906-2005) [noun.person],,"Hans Bethe, Hans Albrecht Bethe"
bethel,noun,a house of worship (especially one for sailors) [noun.artifact],,
bethlehem,noun,a town in eastern Pennsylvania on the Lehigh River to the northwest of Philadelphia [noun.location] | a small town near Jerusalem on the West Bank of the Jordan River [noun.location],an important center for steel production | early home of David and regarded as the place where Jesus was born,"Bayt Lahm, Bethlehem Ephrathah, Bethlehem-Judah"
bethlehem ephrathah,noun,a small town near Jerusalem on the West Bank of the Jordan River [noun.location],early home of David and regarded as the place where Jesus was born,"Bethlehem, Bayt Lahm, Bethlehem-Judah"
bethlehem-judah,noun,a small town near Jerusalem on the West Bank of the Jordan River [noun.location],early home of David and regarded as the place where Jesus was born,"Bethlehem, Bayt Lahm, Bethlehem Ephrathah"
bethune,noun,United States educator who worked to improve race relations and educational opportunities for Black Americans (1875-1955) [noun.person],,Mary McLeod Bethune
betise,noun,a stupid mistake [noun.act],,"stupidity, folly, foolishness, imbecility"
betrayal,noun,an act of deliberate betrayal [noun.act] | the quality of aiding an enemy [noun.attribute],,"treachery, treason, perfidy"
betrayer,noun,one who reveals confidential information in return for money [noun.person] | a person who says one thing and does another [noun.person],,"informer, rat, squealer, blabber, double-crosser, double-dealer, two-timer, traitor"
betrothal,noun,a mutual promise to marry [noun.communication] | the act of becoming betrothed or engaged [noun.act],,"troth, engagement, espousal"
betrothed,noun,the person to whom you are engaged [noun.person],,
betsy griscom ross,noun,American seamstress said to have made the first American flag at the request of George Washington (1752-1836) [noun.person],,"Ross, Betsy Ross"
betsy ross,noun,American seamstress said to have made the first American flag at the request of George Washington (1752-1836) [noun.person],,"Ross, Betsy Griscom Ross"
bette davis,noun,United States film actress (1908-1989) [noun.person],,Davis
better,noun,something superior in quality or condition or effect [noun.attribute] | someone who bets [noun.person] | a superior person having claim to precedence [noun.person] | the superior one of two alternatives [noun.attribute],"a change for the better | ""a change for the better"" | the common man has been kept in his place by his betters | ""the common man has been kept in his place by his betters"" | chose the better of the two","bettor, wagerer, punter"
better half,noun,a person's partner in marriage [noun.person],,"spouse, partner, married person, mate"
betterment,noun,a change for the better [noun.event] | an improvement that adds to the value of a property or facility [noun.state] | the act of relieving ills and changing for the better [noun.act],progress in development,"improvement, advance, amelioration, melioration"
betting odds,noun,the ratio by which one better's wager is greater than that of another [noun.relation],"he offered odds of two to one | ""he offered odds of two to one""",odds
betting shop,noun,a licensed bookmaker's shop that is not at the race track [noun.artifact],,
bettong,noun,short-nosed rat kangaroo [noun.animal],,
bettongia,noun,jerboa kangaroo [noun.animal],,genus Bettongia
bettor,noun,someone who bets [noun.person],,"better, wagerer, punter"
betty friedan,noun,United States feminist who founded a national organization for women (born in 1921) [noun.person],,"Friedan, Betty Naomi Friedan, Betty Naomi Goldstein Friedan"
betty naomi friedan,noun,United States feminist who founded a national organization for women (born in 1921) [noun.person],,"Friedan, Betty Friedan, Betty Naomi Goldstein Friedan"
betty naomi goldstein friedan,noun,United States feminist who founded a national organization for women (born in 1921) [noun.person],,"Friedan, Betty Friedan, Betty Naomi Friedan"
betula,noun,a genus of trees of the family Betulaceae (such as birches) [noun.plant],,genus Betula
betula alleghaniensis,noun,tree of eastern North America with thin lustrous yellow or grey bark [noun.plant],,"yellow birch, Betula leutea"
betula cordifolia,noun,small American birch with peeling white bark often worked into e.g. baskets or toy canoes [noun.plant],,"American white birch, paper birch, paperbark birch, canoe birch, Betula papyrifera"
betula fontinalis,noun,birch of western United States resembling the paper birch but having brownish bark [noun.plant],,"swamp birch, water birch, mountain birch, Western paper birch, Western birch"
betula glandulosa,noun,small shrub of colder parts of North America and Greenland [noun.plant],,"Newfoundland dwarf birch, American dwarf birch"
betula lenta,noun,common birch of the eastern United States having spicy brown bark yielding a volatile oil and hard dark wood used for furniture [noun.plant],,"sweet birch, cherry birch, black birch"
betula leutea,noun,tree of eastern North America with thin lustrous yellow or grey bark [noun.plant],,"yellow birch, Betula alleghaniensis"
betula neoalaskana,noun,Alaskan birch with white to pale brown bark [noun.plant],,Yukon white birch
betula nigra,noun,birch of swamps and river bottoms throughout the eastern United States having reddish-brown bark [noun.plant],,"black birch, river birch, red birch"
betula papyrifera,noun,small American birch with peeling white bark often worked into e.g. baskets or toy canoes [noun.plant],,"American white birch, paper birch, paperbark birch, canoe birch, Betula cordifolia"
betula pendula,noun,European birch with silvery white peeling bark and markedly drooping branches [noun.plant],,"silver birch, common birch, European white birch"
betula populifolia,noun,medium-sized birch of eastern North America having white or pale grey bark and valueless wood [noun.plant],occurs often as a second-growth forest tree,"grey birch, gray birch, American grey birch, American gray birch"
betula pubescens,noun,European birch with dull white to pale brown bark and somewhat drooping hairy branches [noun.plant],,"downy birch, white birch"
betulaceae,noun,monoecious trees and shrubs (including the genera Betula and Alnus and Carpinus and Corylus and Ostrya and Ostryopsis) [noun.plant],,"family Betulaceae, birch family"
betweenbrain,noun,the posterior division of the forebrain [noun.body],connects the cerebral hemispheres with the mesencephalon,"diencephalon, interbrain, thalmencephalon"
beurre noisette,noun,clarified butter browned slowly and seasoned with vinegar or lemon juice and capers [noun.food],,brown butter
bevatron,noun,a cyclotron that accelerates protons up to several billion electron volts [noun.artifact],,
bevel,noun,two surfaces meeting at an angle different from 90 degrees [noun.artifact] | a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size [noun.artifact],,"cant, chamfer, bevel square"
bevel gear,noun,gears that mesh at an angle [noun.artifact],,"pinion and crown wheel, pinion and ring gear"
bevel square,noun,a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size [noun.artifact],,bevel
beverage,noun,any liquid suitable for drinking [noun.food],"may I take your beverage order? | ""may I take your beverage order?""","drink, drinkable, potable"
beveridge,noun,British economist (born in India) whose report on social insurance provided the basis for most of the social legislation on which the welfare state in the United Kingdom is based (1879-1963) [noun.person],,"William Henry Beveridge, First Baron Beveridge"
beverly hills,noun,a city in southwestern California surrounded by Los Angeles [noun.location],home of many Hollywood actors,
beverly sills,noun,United States operatic soprano (born in 1929) [noun.person],,"Sills, Belle Miriam Silverman"
bevin,noun,British labor leader and statesman who played an important role in diplomacy after World War II (1884-1951) [noun.person],,Ernest Bevin
bevy,noun,a large gathering of people of a particular type [noun.group] | a flock of birds (especially when gathered close together on the ground) [noun.group],"he was surrounded by a bevy of beauties in bathing attire | a bevy of young beach boys swarmed around him | ""he was surrounded by a bevy of beauties in bathing attire"" | ""a bevy of young beach boys swarmed around him"" | we were visited at breakfast by a bevy of excited ducks",
bewick's swan,noun,Eurasian subspecies of tundra swan [noun.animal],smaller than the whooper,Cygnus columbianus bewickii
bewilderment,noun,confusion resulting from failure to understand [noun.cognition],,"obfuscation, puzzlement, befuddlement, mystification, bafflement, bemusement"
bewitchery,noun,magnetic personal charm [noun.attribute],,"beguilement, animal magnetism"
bewitchment,noun,a magical spell [noun.cognition],,enchantment
bextra,noun,a Cox-2 inhibitor (trade name Bextra) that relieves pain and inflammation without harming the digestive tract [noun.artifact],,valdecoxib
bey,noun,(formerly) a title of respect for a man in Turkey or Egypt [noun.person] | the governor of a district or province in the Ottoman Empire [noun.person],"he introduced me to Ahmet Bey | ""he introduced me to Ahmet Bey""",
bezant,noun,a gold coin of the Byzantine Empire [noun.possession],widely circulated in Europe in the Middle Ages,"bezzant, byzant, solidus"
bezel,noun,a sloping edge on a cutting tool [noun.artifact],,
bezique,noun,a card game played with a pack of forty-eight cards (two of each suit for high cards) [noun.act],play resembles whist,"pinochle, pinocle, penuchle"
bezoar goat,noun,wild goat of Iran and adjacent regions [noun.animal],,"pasang, Capra aegagrus"
bezzant,noun,a gold coin of the Byzantine Empire [noun.possession],widely circulated in Europe in the Middle Ages,"bezant, byzant, solidus"
bh,noun,a transuranic element [noun.substance],,"bohrium, element 107, atomic number 107"
bhadon,noun,the sixth month of the Hindu calendar [noun.time],,Bhadrapada
bhadrapada,noun,the sixth month of the Hindu calendar [noun.time],,Bhadon
bhaga,noun,Hindu god of wealth and love [noun.person],,
bhagavad-gita,noun,(Hinduism) the sacred `song of God' composed about 200 BC and incorporated into the Mahabharata (a Sanskrit epic) [noun.communication],contains a discussion between Krishna and the Indian hero Arjuna on human nature and the purpose of life,"Bhagavadgita, Gita"
bhagavadgita,noun,(Hinduism) the sacred `song of God' composed about 200 BC and incorporated into the Mahabharata (a Sanskrit epic) [noun.communication],contains a discussion between Krishna and the Indian hero Arjuna on human nature and the purpose of life,"Bhagavad-Gita, Gita"
