headword,pos,definition,examples,synonyms
'hood,noun,(slang) a neighborhood [noun.location],,
's gravenhage,noun,the site of the royal residence and the de facto capital in the western part of the Netherlands [noun.location],seat of the International Court of Justice,"The Hague, Den Haag"
a,noun,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron) [noun.quantity] | any of several fat-soluble vitamins essential for normal vision [noun.substance] | one of the four nucleotides used in building DNA [noun.substance] | (biochemistry) purine base found in DNA and RNA [noun.substance] | the basic unit of electric current adopted under the Systeme International d'Unites [noun.quantity] | the 1st letter of the Roman alphabet [noun.communication] | the blood group whose red cells carry the A antigen [noun.body],used to specify wavelengths of electromagnetic radiation | prevents night blindness or inflammation or dryness of the eyes | all four nucleotides have a common phosphate group and a sugar (ribose) | pairs with thymine in DNA and with uracil in RNA | a typical household circuit carries 15 to 50 amps,"angstrom, angstrom unit, vitamin A, antiophthalmic factor, axerophthol, deoxyadenosine monophosphate, adenine, ampere, amp, type A, group A"
a battery,noun,the battery used to heat the filaments of a vacuum tube [noun.artifact],,
a capella singing,noun,singing without instrumental accompaniment [noun.act],,a cappella singing
a cappella singing,noun,singing without instrumental accompaniment [noun.act],,a capella singing
a horizon,noun,the top layer of a soil profile [noun.location],usually contains humus,A-horizon
a kempis,noun,German ecclesiastic (1380-1471) [noun.person],,Thomas a Kempis
a la carte,noun,a menu having individual dishes listed with separate prices [noun.communication],,
a level,noun,the advanced level of a subject taken in school (usually two years after O level) [noun.state],,
a'man,noun,the Israeli military intelligence which produces comprehensive national intelligence briefings for the prime minister and the cabinet [noun.group],,
a-bomb,noun,a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239) [noun.artifact],,"atom bomb, atomic bomb, fission bomb, plutonium bomb"
a-horizon,noun,the top layer of a soil profile [noun.location],usually contains humus,A horizon
a-line,noun,women's clothing that has a fitted top and a flared skirt that is widest at the hemline [noun.artifact],"it is called the A-line because the effect resembles the capital letter A | ""it is called the A-line because the effect resembles the capital letter A""",
a-list,noun,a list of names of specially favored people [noun.communication],"the boss gave me his A-list of people we should try to recruit | ""the boss gave me his A-list of people we should try to recruit""",
a-scan ultrasonography,noun,the use of ultrasonography to measure the length of the eyeball [noun.act],,
a-team,noun,a group of elite soldiers or a leadership group of advisors or workers in an organization [noun.group],,
a. a. michelson,noun,United States physicist (born in Germany) who collaborated with Morley in the Michelson-Morley experiment (1852-1931) [noun.person],,"Michelson, Albert Michelson, Albert Abraham Michelson"
a. a. milne,noun,English writer of stories for children (1882-1956) [noun.person],,"Milne, Alan Alexander Milne"
a. conan doyle,noun,British author who created Sherlock Holmes (1859-1930) [noun.person],,"Conan Doyle, Arthur Conan Doyle, Sir Arthur Conan Doyle"
a. e. burnside,noun,United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881) [noun.person],,"Burnside, Ambrose Everett Burnside"
a. e. housman,noun,English poet (1859-1936) [noun.person],,"Housman, Alfred Edward Housman"
a. e. kennelly,noun,United States electrical engineer noted for his work on the theory of alternating currents [noun.person],independently of Oliver Heaviside he discovered the existence of an atmospheric layer that reflects radio waves back to earth (1861-1939),"Kennelly, Arthur Edwin Kennelly"
a. e. w. mason,noun,English writer (1865-1948) [noun.person],,"Mason, Alfred Edward Woodley Mason"
a. noam chomsky,noun,United States linguist whose theory of generative grammar redefined the field of linguistics (born 1928) [noun.person],,"Chomsky, Noam Chomsky"
a. testudineus,noun,a small perch of India whose gills are modified to allow it to breathe air [noun.animal],has spiny pectoral fins that enable it to travel on land,"climbing perch, Anabas testudineus"
a.e.,noun,Irish writer whose pen name was A.E. (1867-1935) [noun.person],,"Russell, George William Russell"
aa,noun,a dry form of lava resembling clinkers [noun.substance] | an international organization that provides a support group for persons trying to overcome alcoholism [noun.group] | an associate degree in arts [noun.communication],,"Alcoholics Anonymous, Associate in Arts"
aaa,noun,an aneurysm of the abdominal aorta associated with old age and hypertension [noun.state],,abdominal aortic aneurysm
aachen,noun,a city in western Germany near the Dutch and Belgian borders [noun.location],formerly it was Charlemagne's northern capital,"Aken, Aix-la-Chapelle"
aaland islands,noun,"an archipelago of some 6,000 islands in the Gulf of Bothnia under Finnish control [noun.location]",,"Aland islands, Ahvenanmaa"
aalborg,noun,a city and port in northern Jutland [noun.location],,Alborg
aalii,noun,a small Hawaiian tree with hard dark wood [noun.plant],,
aalst,noun,a town in central Belgium [noun.location],,
aalto,noun,Finnish architect and designer of furniture (1898-1976) [noun.person],,"Alvar Aalto, Hugo Alvar Henrik Aalto"
aar,noun,a river in north central Switzerland that runs northeast into the Rhine [noun.object],,"Aare, Aare River"
aardvark,noun,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites [noun.animal],sole extant representative of the order Tubulidentata,"ant bear, anteater, Orycteropus afer"
aardwolf,noun,striped hyena of southeast Africa that feeds chiefly on insects [noun.animal],,Proteles cristata
aare,noun,a river in north central Switzerland that runs northeast into the Rhine [noun.object],,"Aar, Aare River"
aare river,noun,a river in north central Switzerland that runs northeast into the Rhine [noun.object],,"Aare, Aar"
aarhus,noun,port city of Denmark in eastern Jutland [noun.location],,Arhus
aaron,noun,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934) [noun.person] | (Old Testament) elder brother of Moses and first high priest of the Israelites [noun.person],created the golden calf,"Henry Louis Aaron, Hank Aaron"
aaron burr,noun,United States politician who served as vice president under Jefferson [noun.person],he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836),Burr
aaron copland,noun,United States composer who developed a distinctly American music (1900-1990) [noun.person],,Copland
aaron montgomery ward,noun,United States businessman who in 1872 established a successful mail-order business (1843-1913) [noun.person],,"Ward, Montgomery Ward"
aaron's rod,noun,tall-stalked very woolly mullein with densely packed yellow flowers [noun.plant],ancient Greeks and Romans dipped the stalks in tallow for funeral torches,"common mullein, great mullein, flannel mullein, woolly mullein, torch, Verbascum thapsus"
aarp,noun,an association of people to promote the welfare of senior citizens [noun.group],,Association for the Advancement of Retired Persons
aas,noun,an associate degree in applied science [noun.communication],,Associate in Applied Science
aave,noun,a nonstandard form of American English characteristically spoken by African Americans in the United States [noun.communication],,"African American Vernacular English, African American English, Black English, Black English Vernacular, Black Vernacular, Black Vernacular English, Ebonics"
ab,noun,a bachelor's degree in arts and sciences [noun.communication] | the eleventh month of the civil year [noun.time] | the muscles of the abdomen [noun.body] | the blood group whose red cells carry both the A and B antigens [noun.body],the fifth month of the ecclesiastical year in the Jewish calendar (in July and August),"Bachelor of Arts, BA, Artium Baccalaurens, Av, abdominal, abdominal muscle, type AB, group AB"
aba,noun,a loose sleeveless outer garment made from aba cloth [noun.artifact] | a fabric woven from goat hair and camel hair [noun.artifact],worn by Arabs,
aba transit number,noun,an identification number consisting of a two-part code assigned to banks and savings associations [noun.communication],the first part shows the location and the second identifies the bank itself,"bank identification number, BIN"
abaca,noun,a kind of hemp obtained from the abaca plant in the Philippines [noun.substance] | Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc [noun.plant],,"Manila hemp, Manilla hemp, Musa textilis"
abacus,noun,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave [noun.artifact] | a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves [noun.artifact],,
abadan,noun,a port city in southwestern Iran [noun.location],,
abalone,noun,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior [noun.animal],,ear-shell
abamp,noun,a unit of current equal to 10 amperes [noun.quantity],,abampere
abampere,noun,a unit of current equal to 10 amperes [noun.quantity],,abamp
abandon,noun,the trait of lacking restraint or control [noun.attribute] | a feeling of extreme emotional intensity [noun.feeling],"she danced with abandon | reckless freedom from inhibition or worry | ""she danced with abandon"" | the wildness of his anger | ""the wildness of his anger""","wantonness, unconstraint, wildness"
abandoned infant,noun,a child who has been abandoned and whose parents are unknown [noun.person],,foundling
abandoned person,noun,someone for whom hope has been abandoned [noun.person],,
abandoned ship,noun,a ship abandoned on the high seas [noun.artifact],,derelict
abandonment,noun,the act of giving something up [noun.act] | withdrawing support or help despite allegiance or responsibility [noun.act] | the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away [noun.act],"his abandonment of his wife and children left them penniless | ""his abandonment of his wife and children left them penniless""","forsaking, desertion, defection"
abarticulation,noun,dislocation of a joint [noun.state],,
abasement,noun,a low or downcast state [noun.state] | depriving one of self-esteem [noun.act],"each confession brought her into an attitude of abasement | ""each confession brought her into an attitude of abasement""- H.L.Menchken","degradation, abjection, humiliation"
abashment,noun,feeling embarrassed due to modesty [noun.feeling],,bashfulness
abasia,noun,inability to walk [noun.state],,
abasia trepidans,noun,abasia due to trembling of the legs [noun.state],,
abatable nuisance,noun,a nuisance that can remedied (suppressed or extinguished or rendered harmless) [noun.cognition],"the continued existence of an abatable nuisance is not authorized under the law | ""the continued existence of an abatable nuisance is not authorized under the law""",
abatement,noun,an interruption in the intensity or amount of something [noun.event] | the act of abating [noun.act],"laws enforcing noise abatement | ""laws enforcing noise abatement""","suspension, respite, reprieve, hiatus"
abatement of a nuisance,noun,(law) the removal or termination or destruction of something that has been found to be a nuisance [noun.act],,nuisance abatement
abatis,noun,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy [noun.artifact],,abattis
abator,noun,a person who abates a nuisance [noun.person],,
abattis,noun,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy [noun.artifact],,abatis
abattoir,noun,a building where animals are butchered [noun.artifact],,"butchery, shambles, slaughterhouse"
abaya,noun,(Arabic) a loose black robe from head to toe [noun.artifact],traditionally worn by Muslim women,
abb,noun,an urban hit squad and guerrilla group of the Communist Party in the Philippines [noun.group],formed in the 1980s,"Alex Boncayao Brigade, Revolutionary Proletarian Army, RPA-ABB"
abbacy,noun,the jurisdiction or office of an abbot [noun.location],,
abbe,noun,a French abbot [noun.person],,
abbe condenser,noun,a condenser having 2 or 3 lenses with wide aperture for use in microscopes [noun.artifact],,
abbess,noun,the superior of a group of nuns [noun.person],,"mother superior, prioress"
abbey,noun,a church associated with a monastery or convent [noun.artifact] | a convent ruled by an abbess [noun.artifact] | a monastery ruled by an abbot [noun.artifact],,
abbot,noun,the superior of an abbey of monks [noun.person],,archimandrite
abbott lawrence lowell,noun,United States educator and president of Harvard University (1856-1943) [noun.person],,Lowell
abbreviation,noun,a shortened form of a word or phrase [noun.communication] | shortening something by omitting parts of it [noun.act],,
abbreviator,noun,one who shortens or abridges or condenses a written work [noun.person],,abridger
abc,noun,the elementary stages of any subject (usually plural) [noun.cognition],"he mastered only the rudiments of geometry | ""he mastered only the rudiments of geometry""","rudiment, first rudiment, first principle, alphabet, ABC's, ABCs"
abc's,noun,the elementary stages of any subject (usually plural) [noun.cognition],"he mastered only the rudiments of geometry | ""he mastered only the rudiments of geometry""","rudiment, first rudiment, first principle, alphabet, ABC, ABCs"
abcoulomb,noun,a unit of electrical charge equal to 10 coulombs [noun.quantity],,
abcs,noun,the elementary stages of any subject (usually plural) [noun.cognition],"he mastered only the rudiments of geometry | ""he mastered only the rudiments of geometry""","rudiment, first rudiment, first principle, alphabet, ABC, ABC's"
abdias,noun,a Hebrew minor prophet [noun.person] | an Old Testament book telling Obadiah's prophecies [noun.communication],the shortest book in the Christian Bible,"Obadiah, Book of Obadiah"
abdication,noun,a formal resignation and renunciation of powers [noun.communication] | the act of abdicating [noun.communication],,stepping down
abdicator,noun,one who formally relinquishes an office or responsibility [noun.person],,
abdomen,noun,the region of the body of a vertebrate between the thorax and the pelvis [noun.body] | the cavity containing the major viscera [noun.body],in mammals it is separated from the thorax by the diaphragm,"venter, stomach, belly, abdominal cavity"
abdominal,noun,the muscles of the abdomen [noun.body],,"abdominal muscle, ab"
abdominal actinomycosis,noun,a serious form of actinomycosis that affects the abdomen [noun.state],,
abdominal aorta,noun,a branch of the descending aorta [noun.body],,
abdominal aortic aneurysm,noun,an aneurysm of the abdominal aorta associated with old age and hypertension [noun.state],,AAA
abdominal breathing,noun,breathing in which most of the respiratory effort is done by the abdominal muscles [noun.act],"abdominal breathing is practiced by singers | ""abdominal breathing is practiced by singers""",
abdominal cavity,noun,the cavity containing the major viscera [noun.body],in mammals it is separated from the thorax by the diaphragm,abdomen
abdominal external oblique muscle,noun,a diagonally arranged abdominal muscle on either side of the torso [noun.body],,"external oblique muscle, musculus obliquus externus abdominis, oblique"
abdominal muscle,noun,the muscles of the abdomen [noun.body],,"abdominal, ab"
abdominal nerve plexus,noun,a large plexus of sympathetic nerves in the abdomen behind the stomach [noun.body],,"solar plexus, coeliac plexus, plexus celiacus"
abdominal pregnancy,noun,ectopic pregnancy in the abdominal cavity [noun.state],,
abdominal wall,noun,a wall of the abdomen [noun.body],,
abdominocentesis,noun,centesis of the belly to remove fluid for diagnosis [noun.act],,paracentesis
abdominoplasty,noun,cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach [noun.act],,tummy tuck
abdominousness,noun,the bodily property of a protruding belly [noun.attribute],,paunchiness
abducens,noun,a small motor nerve supplying the lateral rectus muscle of the eye [noun.body],,"abducent, abducent nerve, abducens nerve, nervus abducens, sixth cranial nerve"
abducens muscle,noun,the ocular muscle whose contraction turns the eyeball outward [noun.body],,"lateral rectus muscle, lateral rectus, rectus lateralis"
abducens nerve,noun,a small motor nerve supplying the lateral rectus muscle of the eye [noun.body],,"abducent, abducent nerve, abducens, nervus abducens, sixth cranial nerve"
abducent,noun,a small motor nerve supplying the lateral rectus muscle of the eye [noun.body],,"abducent nerve, abducens, abducens nerve, nervus abducens, sixth cranial nerve"
abducent nerve,noun,a small motor nerve supplying the lateral rectus muscle of the eye [noun.body],,"abducent, abducens, abducens nerve, nervus abducens, sixth cranial nerve"
abduction,noun,the criminal act of capturing and carrying away by force a family member [noun.act] | (physiology) moving of a body part away from the central axis of the body [noun.act],if a man's wife is abducted it is a crime against the family relationship and against the wife,
abductor,noun,someone who unlawfully seizes and detains a victim (usually for ransom) [noun.person] | a muscle that draws a body part away from the median line [noun.body],,"kidnapper, kidnaper, snatcher, abductor muscle"
abductor muscle,noun,a muscle that draws a body part away from the median line [noun.body],,abductor
abecedarian,noun,a novice learning the rudiments of some subject [noun.person] | a 16th century sect of Anabaptists centered in Germany who had an absolute disdain for human knowledge [noun.group],,
abecedarius,noun,a poem having lines beginning with letters of the alphabet in regular order [noun.communication],,
abel,noun,Norwegian mathematician (1802-1829) [noun.person] | (Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man [noun.person],Abel was killed by Cain,"Niels Abel, Niels Henrik Abel"
abel janszoon tasman,noun,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659) [noun.person],,"Tasman, Abel Tasman"
abel tasman,noun,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659) [noun.person],,"Tasman, Abel Janszoon Tasman"
abelard,noun,French philosopher and theologian [noun.person],lover of Heloise (1079-1142),"Peter Abelard, Pierre Abelard"
abele,noun,a poplar that is widely cultivated in the United States [noun.plant],has white bark and leaves with whitish undersurfaces,"white poplar, white aspen, aspen poplar, silver-leaved poplar, Populus alba"
abelia,noun,any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers [noun.plant],Asia and Mexico,
abelian group,noun,a group that satisfies the commutative law [noun.cognition],,commutative group
abelmoschus,noun,genus of tropical coarse herbs having large lobed leaves and often yellow flowers [noun.plant],,genus Abelmoschus
abelmoschus esculentus,noun,tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews [noun.plant],sometimes placed in genus Hibiscus,"okra, gumbo, okra plant, lady's-finger, Hibiscus esculentus"
abelmoschus moschatus,noun,bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus [noun.plant],,"abelmosk, musk mallow, Hibiscus moschatus"
abelmosk,noun,bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus [noun.plant],,"musk mallow, Abelmoschus moschatus, Hibiscus moschatus"
abenaki,noun,a member of the Algonquian people of Maine and southern Quebec [noun.person],,Abnaki
aberdare,noun,a mining town in southern Wales [noun.location],,
aberdeen,noun,a town in western Washington [noun.location] | a town in northeastern South Dakota [noun.location] | a town in northeastern Maryland [noun.location] | a city in northeastern Scotland on the North Sea [noun.location],,
aberdeen angus,noun,black hornless breed from Scotland [noun.animal],,"Angus, black Angus"
aberrance,noun,a state or condition markedly different from the norm [noun.state],,"aberrancy, aberration, deviance"
aberrancy,noun,a state or condition markedly different from the norm [noun.state],,"aberrance, aberration, deviance"
aberrant,noun,one whose behavior departs substantially from the norm of a group [noun.person],,
aberration,noun,a state or condition markedly different from the norm [noun.state] | a disorder in one's mental state [noun.state] | an optical phenomenon resulting from the failure of a lens or mirror to produce a good image [noun.phenomenon],,"aberrance, aberrancy, deviance, distortion, optical aberration"
abetalipoproteinemia,noun,a rare inherited disorder of fat metabolism [noun.state],characterized by severe deficiency of beta-lipoproteins and abnormal red blood cells (acanthocytes) and abnormally low cholesterol levels,
abetment,noun,the verbal act of urging on [noun.communication],,"abettal, instigation"
abettal,noun,the verbal act of urging on [noun.communication],,"abetment, instigation"
abetter,noun,one who helps or encourages or incites another [noun.person],,abettor
abettor,noun,one who helps or encourages or incites another [noun.person],,abetter
abeyance,noun,temporary cessation or suspension [noun.state],,suspension
abfarad,noun,a capacitance unit equal to one billion farads [noun.quantity],,
abhenry,noun,a unit of inductance equal to one billionth of a henry [noun.quantity],,
abhorrence,noun,hate coupled with disgust [noun.feeling],,"abomination, detestation, execration, loathing, odium"
abhorrer,noun,a signer of a 1679 address to Charles II in which those who petitioned for the reconvening of parliament were condemned and abhorred [noun.person],,
abidance,noun,acting according to certain accepted standards [noun.act] | the act of dwelling in a place [noun.act] | the act of abiding (enduring without yielding) [noun.act],"their financial statements are in conformity with generally accepted accounting practices | ""their financial statements are in conformity with generally accepted accounting practices""","conformity, conformation, compliance, residency, residence"
abidjan,noun,city recognized by the United States as the capital of the Ivory Coast [noun.location],largest city of the Ivory Coast,
abience,noun,(psychology) an urge to withdraw or avoid a situation or an object [noun.motive],,
abies,noun,true firs [noun.plant],,genus Abies
abies alba,noun,tall timber tree of central and southern Europe having a regular crown and grey bark [noun.plant],,"European silver fir, Christmas tree"
abies amabilis,noun,medium to tall fir of western North America having a conic crown and branches in tiers [noun.plant],leaves smell of orange when crushed,"amabilis fir, white fir, Pacific silver fir, red silver fir, Christmas tree"
abies balsamea,noun,medium-sized fir of northeastern North America [noun.plant],leaves smell of balsam when crushed | much used for pulpwood and Christmas trees,"balsam fir, balm of Gilead, Canada balsam"
abies bracteata,noun,a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines [noun.plant],,"Santa Lucia fir, bristlecone fir, Abies venusta"
abies concolor,noun,medium to tall fir of central to western United States having a narrow erect crown and soft wood [noun.plant],,"white fir, Colorado fir, California white fir, Abies lowiana"
abies fraseri,noun,small fast-growing but short-lived fir of southern Alleghenies similar to balsam fir but with very short leaves [noun.plant],,Fraser fir
abies grandis,noun,lofty fir of the Pacific coast of northwestern America having long curving branches and deep green leaves [noun.plant],,"lowland fir, lowland white fir, giant fir, grand fir"
abies lasiocarpa,noun,medium-tall timber tree of the Rocky Mountains having a narrowly conic to columnar crown [noun.plant],,"Alpine fir, subalpine fir"
abies lowiana,noun,medium to tall fir of central to western United States having a narrow erect crown and soft wood [noun.plant],,"white fir, Colorado fir, California white fir, Abies concolor"
abies venusta,noun,a pyramidal fir of southwestern California having spiny pointed leaves and cone scales with long spines [noun.plant],,"Santa Lucia fir, bristlecone fir, Abies bracteata"
abila,noun,a promontory in northern Morocco opposite the Rock of Gibraltar [noun.object],one of the Pillars of Hercules,"Jebel Musa, Abyla"
abilene,noun,a city in central Texas [noun.location] | a town in central Kansas to the west of Topeka [noun.location],home of Dwight D. Eisenhower,
ability,noun,the quality of being able to perform [noun.attribute] | possession of the qualities (especially mental qualities) required to do something or get something done [noun.cognition],"a quality that permits or facilitates achievement or accomplishment | danger heightened his powers of discrimination | ""danger heightened his powers of discrimination""",power
abiogenesis,noun,a hypothetical organic phenomenon by which living organisms are created from nonliving matter [noun.phenomenon],,"autogenesis, autogeny, spontaneous generation"
abiogenist,noun,a believer in abiogenesis [noun.person],,
abiotrophy,noun,a loss of vitality and a degeneration of cells and tissues not due to any apparent injury [noun.event],,
abjection,noun,a low or downcast state [noun.state],"each confession brought her into an attitude of abasement | ""each confession brought her into an attitude of abasement""- H.L.Menchken","abasement, degradation"
abjuration,noun,a disavowal or taking back of a previous assertion [noun.communication],,"retraction, recantation"
abjurer,noun,a person who abjures [noun.person],,
abkhas,noun,a member of the Circassian people who live to the east of the Black Sea [noun.person] | Circassian people living east of the Black Sea [noun.group],,"Abkhaz, Abkhazian, Abkhasian"
abkhasian,noun,a member of the Circassian people who live to the east of the Black Sea [noun.person] | a Circassian language spoken by the Abkhaz [noun.communication],,"Abkhaz, Abkhazian, Abkhas"
abkhaz,noun,a member of the Circassian people who live to the east of the Black Sea [noun.person] | an autonomous province of Georgia on the Black Sea [noun.location] | Circassian people living east of the Black Sea [noun.group],a strong independence movement has resulted in much instability,"Abkhazian, Abkhas, Abkhasian, Abkhazia"
abkhazia,noun,an autonomous province of Georgia on the Black Sea [noun.location],a strong independence movement has resulted in much instability,Abkhaz
abkhazian,noun,a member of the Circassian people who live to the east of the Black Sea [noun.person] | a Circassian language spoken by the Abkhaz [noun.communication],,"Abkhaz, Abkhas, Abkhasian"
ablactation,noun,the cessation of lactation [noun.process] | the act of substituting other food for the mother's milk in the diet of a child or young mammal [noun.act],,weaning
ablation,noun,surgical removal of a body part or tissue [noun.act] | the erosive process that reduces the size of glaciers [noun.process],,"extirpation, cutting out, excision"
ablative,noun,the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb [noun.communication],,ablative case
ablative absolute,noun,a constituent in Latin grammar [noun.communication],a noun and its modifier can function as a sentence modifier,
ablative case,noun,the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb [noun.communication],,ablative
ablaut,noun,a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song) [noun.communication],,
able seaman,noun,a seaman in the merchant marine [noun.person],trained in special skills,able-bodied seaman
able-bodied seaman,noun,a seaman in the merchant marine [noun.person],trained in special skills,able seaman
able-bodiedism,noun,discrimination in favor of the able-bodied [noun.act],,"ableism, ablism, able-bodism"
able-bodism,noun,discrimination in favor of the able-bodied [noun.act],,"ableism, ablism, able-bodiedism"
ableism,noun,discrimination in favor of the able-bodied [noun.act],,"ablism, able-bodiedism, able-bodism"
ablepharia,noun,a congenital absence of eyelids (partial or complete) [noun.state],,
ablism,noun,discrimination in favor of the able-bodied [noun.act],,"ableism, able-bodiedism, able-bodism"
abls,noun,a bachelor's degree in library science [noun.communication],,Bachelor of Arts in Library Science
ablution,noun,the ritual washing of a priest's hands or of sacred vessels [noun.act],,
abm,noun,a defensive missile designed to shoot down incoming intercontinental ballistic missiles [noun.artifact],"the Strategic Arms Limitation Talks placed limits on the deployment of ABMs | ""the Strategic Arms Limitation Talks placed limits on the deployment of ABMs""",antiballistic missile
abnaki,noun,a member of the Algonquian people of Maine and southern Quebec [noun.person] | the Algonquian language spoken by the Abnaki and Penobscot [noun.communication],,Abenaki
abnegation,noun,the denial and rejection of a doctrine or belief [noun.communication] | renunciation of your own interests in favor of the interests of others [noun.act],"abnegation of the Holy Trinity | ""abnegation of the Holy Trinity""","self-abnegation, denial, self-denial, self-renunciation"
abnegator,noun,one who gives up or relinquishes or renounces something [noun.person],,
abney level,noun,a surveying instrument consisting of a spirit level and a sighting tube [noun.artifact],used to measure the angle of inclination of a line from the observer to the target,
abnormal psychology,noun,the branch of psychology concerned with abnormal behavior [noun.cognition],,psychopathology
abnormalcy,noun,an abnormal physical condition resulting from defective genes or developmental deficiencies [noun.state],,abnormality
abnormality,noun,an abnormal physical condition resulting from defective genes or developmental deficiencies [noun.state] | retardation sufficient to fall outside the normal range of intelligence [noun.cognition] | marked strangeness as a consequence of being abnormal [noun.attribute] | behavior that breaches the rule or etiquette or custom or morality [noun.act],,"abnormalcy, mental defectiveness, freakishness, irregularity"
abo,noun,a dark-skinned member of a race of people living in Australia when Europeans arrived [noun.person],,"Aborigine, Aboriginal, native Australian, Australian Aborigine"
abo antibodies,noun,blood type antibodies [noun.substance],,
abo blood group system,noun,a classification system for the antigens of human blood [noun.cognition],used in blood transfusion therapy | four groups are A and B and AB and O,"ABO system, ABO group"
abo group,noun,a classification system for the antigens of human blood [noun.cognition],used in blood transfusion therapy | four groups are A and B and AB and O,"ABO blood group system, ABO system"
abo system,noun,a classification system for the antigens of human blood [noun.cognition],used in blood transfusion therapy | four groups are A and B and AB and O,"ABO blood group system, ABO group"
abocclusion,noun,the condition in which the upper teeth do not touch the lower teeth when biting [noun.state],,
abode,noun,any address at which you dwell more than temporarily [noun.location] | housing that someone is living in [noun.artifact],"a person can have several residences | ""a person can have several residences"" | he built a modest dwelling near the pond | they raise money to provide homes for the homeless | ""he built a modest dwelling near the pond""","residence, dwelling, home, domicile, habitation, dwelling house"
abohm,noun,a unit of resistance equal to a billionth of an ohm [noun.quantity],,
abolishment,noun,the act of abolishing a system or practice or institution (especially abolishing slavery) [noun.act],"the abolition of capital punishment | ""the abolition of capital punishment""",abolition
abolition,noun,the act of abolishing a system or practice or institution (especially abolishing slavery) [noun.act],"the abolition of capital punishment | ""the abolition of capital punishment""",abolishment
abolitionism,noun,the doctrine that calls for the abolition of slavery [noun.cognition],,
abolitionist,noun,a reformer who favors abolishing slavery [noun.person],,emancipationist
abomasum,noun,the fourth compartment of the stomach of a ruminant [noun.animal],the one where digestion takes place,fourth stomach
abominable snowman,noun,a large hairy humanoid creature said to live in the Himalayas [noun.person],,yeti
abomination,noun,a person who is loathsome or disgusting [noun.person] | hate coupled with disgust [noun.feeling] | an action that is vicious or vile [noun.act],"his treatment of the children is an abomination | an action that arouses disgust or abhorrence | ""his treatment of the children is an abomination""","abhorrence, detestation, execration, loathing, odium"
abominator,noun,one who hates or loathes [noun.person],,loather
abor,noun,little known Kamarupan languages [noun.communication],,"Miri, Mirish, Dafla"
aboriginal,noun,a dark-skinned member of a race of people living in Australia when Europeans arrived [noun.person] | an indigenous person who was born in a particular place [noun.person],"the art of the natives of the northwest coast | the Canadian government scrapped plans to tax the grants to aboriginal college students | ""the art of the natives of the northwest coast"" | ""the Canadian government scrapped plans to tax the grants to aboriginal college students""","Aborigine, Abo, native Australian, Australian Aborigine, native, indigen, indigene, aborigine"
aboriginal australian,noun,the Austronesian languages spoken by Australian aborigines [noun.communication],,Australian
aborigine,noun,an indigenous person who was born in a particular place [noun.person] | a dark-skinned member of a race of people living in Australia when Europeans arrived [noun.person],"the art of the natives of the northwest coast | the Canadian government scrapped plans to tax the grants to aboriginal college students | ""the art of the natives of the northwest coast"" | ""the Canadian government scrapped plans to tax the grants to aboriginal college students""","native, indigen, indigene, aboriginal, Abo, Aboriginal, native Australian, Australian Aborigine"
abort,noun,the act of terminating a project or procedure before it is completed [noun.act],"I wasted a year of my life working on an abort | he sent a short message requesting an abort due to extreme winds in the area | ""I wasted a year of my life working on an abort"" | ""he sent a short message requesting an abort due to extreme winds in the area""",
aborticide,noun,a drug (or other chemical agent) that causes abortion [noun.artifact] | the act of destroying a fetus [noun.act],,"abortifacient, abortion-inducing drug, feticide"
abortifacient,noun,a drug (or other chemical agent) that causes abortion [noun.artifact],,"aborticide, abortion-inducing drug"
abortion,noun,termination of pregnancy [noun.act] | failure of a plan [noun.event],,miscarriage
